Listening on port 8333
{u'lastRequest': 12, u'lastquality': 3, u'deviceTime': 1552328704411, u'lastChunkStartTime': 1552328703718, u'buffer': 42.403546, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 11685.371093689519, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 238, u'corruptedFrames': 0, u'time': 12191}, u'lastChunkFinishTime': 1552328704357, u'videoPlayed': 9.676454, u'Type': u'BB', u'lastChunkSize': 946851}
{u'lastRequest': 13, u'lastquality': 3, u'deviceTime': 1552328705336, u'lastChunkStartTime': 1552328704532, u'buffer': 45.510859999999994, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 11688.025588436622, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 259, u'corruptedFrames': 0, u'time': 13003}, u'lastChunkFinishTime': 1552328705248, u'videoPlayed': 10.609679, u'Type': u'BB', u'lastChunkSize': 1036454}
{u'lastRequest': 14, u'lastquality': 3, u'deviceTime': 1552328706117, u'lastChunkStartTime': 1552328705458, u'buffer': 48.699014999999996, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 11661.683024009153, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 280, u'corruptedFrames': 0, u'time': 13856}, u'lastChunkFinishTime': 1552328706027, u'videoPlayed': 11.380985, u'Type': u'BB', u'lastChunkSize': 821631}
{u'lastRequest': 15, u'lastquality': 3, u'deviceTime': 1552328706958, u'lastChunkStartTime': 1552328706250, u'buffer': 51.847127, u'nextChunkSize': [2289689, 1491626, 966699, 617242, 360831, 143509], u'bandwidthEst': 11667.51043169712, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 301, u'corruptedFrames': 0, u'time': 14708}, u'lastChunkFinishTime': 1552328706885, u'videoPlayed': 12.232873, u'Type': u'BB', u'lastChunkSize': 923170}
{u'lastRequest': 16, u'lastquality': 3, u'deviceTime': 1552328707854, u'lastChunkStartTime': 1552328707089, u'buffer': 54.953378, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 11655.927258532334, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 323, u'corruptedFrames': 0, u'time': 15560}, u'lastChunkFinishTime': 1552328707752, u'videoPlayed': 13.126622, u'Type': u'BB', u'lastChunkSize': 966699}
{u'lastRequest': 17, u'lastquality': 3, u'deviceTime': 1552328708628, u'lastChunkStartTime': 1552328707995, u'buffer': 58.17833, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 11641.82153251039, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 343, u'corruptedFrames': 0, u'time': 16387}, u'lastChunkFinishTime': 1552328708596, u'videoPlayed': 13.90167, u'Type': u'BB', u'lastChunkSize': 885714}
{u'lastRequest': 18, u'lastquality': 3, u'deviceTime': 1552328711009, u'lastChunkStartTime': 1552328708751, u'buffer': 59.972989999999996, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 11691.701534759019, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 400, u'corruptedFrames': 0, u'time': 18662}, u'lastChunkFinishTime': 1552328709420, u'videoPlayed': 16.26877, u'Type': u'BB', u'lastChunkSize': 987708}
{u'lastRequest': 19, u'lastquality': 3, u'deviceTime': 1552328715437, u'lastChunkStartTime': 1552328711164, u'buffer': 59.520962999999995, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 11545.004468380152, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 512, u'corruptedFrames': 0, u'time': 23116}, u'lastChunkFinishTime': 1552328711841, u'videoPlayed': 20.723066, u'Type': u'BB', u'lastChunkSize': 923755}
{u'lastRequest': 20, u'lastquality': 3, u'deviceTime': 1552328719027, u'lastChunkStartTime': 1552328715579, u'buffer': 59.863389999999995, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 10712.043578134044, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 603, u'corruptedFrames': 0, u'time': 26772}, u'lastChunkFinishTime': 1552328716395, u'videoPlayed': 24.309765, u'Type': u'BB', u'lastChunkSize': 891604}
{u'lastRequest': 21, u'lastquality': 3, u'deviceTime': 1552328723098, u'lastChunkStartTime': 1552328719193, u'buffer': 59.923491999999996, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 10212.031592252533, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 701, u'corruptedFrames': 0, u'time': 30712}, u'lastChunkFinishTime': 1552328720012, u'videoPlayed': 28.358587, u'Type': u'BB', u'lastChunkSize': 955231}
{u'lastRequest': 22, u'lastquality': 3, u'deviceTime': 1552328727197, u'lastChunkStartTime': 1552328723245, u'buffer': 59.680536, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 9699.273391509398, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 807, u'corruptedFrames': 0, u'time': 34955}, u'lastChunkFinishTime': 1552328724111, u'videoPlayed': 32.48382, u'Type': u'BB', u'lastChunkSize': 968026}
{u'lastRequest': 23, u'lastquality': 3, u'deviceTime': 1552328731206, u'lastChunkStartTime': 1552328727337, u'buffer': 59.731833, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 9216.406798928747, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 906, u'corruptedFrames': 0, u'time': 38907}, u'lastChunkFinishTime': 1552328728138, u'videoPlayed': 36.469727, u'Type': u'BB', u'lastChunkSize': 874175}
