Listening on port 8333
{u'lastRequest': 12, u'lastquality': 0, u'deviceTime': 1527279452660, u'lastChunkStartTime': 1527279451350, u'buffer': 15.781034999999996, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 760.1792868815127, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 902, u'corruptedFrames': 0, u'time': 58422}, u'lastChunkFinishTime': 1527279452634, u'videoPlayed': 36.298965, u'Type': u'RB', u'lastChunkSize': 160746}
{u'lastRequest': 13, u'lastquality': 1, u'deviceTime': 1527279456051, u'lastChunkStartTime': 1527279452828, u'buffer': 16.410773, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 893.384898495442, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 987, u'corruptedFrames': 0, u'time': 61835}, u'lastChunkFinishTime': 1527279456019, u'videoPlayed': 39.669227, u'Type': u'RB', u'lastChunkSize': 434409}
{u'lastRequest': 14, u'lastquality': 1, u'deviceTime': 1527279458516, u'lastChunkStartTime': 1527279456164, u'buffer': 17.925067, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 980.0881592723698, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 1050, u'corruptedFrames': 0, u'time': 64359}, u'lastChunkFinishTime': 1527279458474, u'videoPlayed': 42.154933, u'Type': u'RB', u'lastChunkSize': 337059}
{u'lastRequest': 15, u'lastquality': 1, u'deviceTime': 1527279461242, u'lastChunkStartTime': 1527279458655, u'buffer': 19.241544999999995, u'nextChunkSize': [2289689, 1491626, 966699, 617242, 360831, 143509], u'bandwidthEst': 1076.1331444369848, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 1114, u'corruptedFrames': 0, u'time': 66922}, u'lastChunkFinishTime': 1527279461205, u'videoPlayed': 44.879233, u'Type': u'RB', u'lastChunkSize': 366214}
{u'lastRequest': 16, u'lastquality': 1, u'deviceTime': 1527279464102, u'lastChunkStartTime': 1527279461357, u'buffer': 20.346686999999996, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 1100.0236574144335, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 1187, u'corruptedFrames': 0, u'time': 69813}, u'lastChunkFinishTime': 1527279464062, u'videoPlayed': 47.733313, u'Type': u'RB', u'lastChunkSize': 360831}
{u'lastRequest': 17, u'lastquality': 1, u'deviceTime': 1527279466977, u'lastChunkStartTime': 1527279464233, u'buffer': 21.502735, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 1114.3749708362857, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 1258, u'corruptedFrames': 0, u'time': 72660}, u'lastChunkFinishTime': 1527279466898, u'videoPlayed': 50.577265, u'Type': u'RB', u'lastChunkSize': 372963}
{u'lastRequest': 18, u'lastquality': 1, u'deviceTime': 1527279470881, u'lastChunkStartTime': 1527279467153, u'buffer': 21.576651999999996, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 1047.806446979087, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1356, u'corruptedFrames': 0, u'time': 76585}, u'lastChunkFinishTime': 1527279470824, u'videoPlayed': 54.503348, u'Type': u'RB', u'lastChunkSize': 405596}
{u'lastRequest': 19, u'lastquality': 1, u'deviceTime': 1527279475649, u'lastChunkStartTime': 1527279471023, u'buffer': 20.805036, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 861.5113953425112, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1475, u'corruptedFrames': 0, u'time': 81358}, u'lastChunkFinishTime': 1527279475606, u'videoPlayed': 59.274964, u'Type': u'RB', u'lastChunkSize': 350713}
{u'lastRequest': 20, u'lastquality': 1, u'deviceTime': 1527279485073, u'lastChunkStartTime': 1527279475781, u'buffer': 15.404492000000005, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 517.6018779198135, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1712, u'corruptedFrames': 0, u'time': 90838}, u'lastChunkFinishTime': 1527279485022, u'videoPlayed': 68.716113, u'Type': u'RB', u'lastChunkSize': 386472}
{u'lastRequest': 21, u'lastquality': 0, u'deviceTime': 1527279487614, u'lastChunkStartTime': 1527279485365, u'buffer': 16.846092999999996, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 491.3150666639746, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 67, u'totalFrames': 1774, u'corruptedFrames': 0, u'time': 93317}, u'lastChunkFinishTime': 1527279487590, u'videoPlayed': 71.233907, u'Type': u'RB', u'lastChunkSize': 157812}
