Listening on port 8333
{u'lastRequest': 12, u'lastquality': 0, u'deviceTime': 1527281176641, u'lastChunkStartTime': 1527281174909, u'buffer': 7.369136999999995, u'bufferAdjusted': 2.8191369999999942, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 168.6380192501316, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 22, u'totalFrames': 1102, u'corruptedFrames': 0, u'time': 55678}, u'lastChunkFinishTime': 1527281176610, u'videoPlayed': 44.710863, u'Type': u'ABR', u'lastChunkSize': 160746}
{u'lastRequest': 13, u'lastquality': 0, u'deviceTime': 1527281178838, u'lastChunkStartTime': 1527281176808, u'buffer': 9.163866999999996, u'bufferAdjusted': 4.6138669999999955, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 169.53345364556645, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 22, u'totalFrames': 1156, u'corruptedFrames': 0, u'time': 57838}, u'lastChunkFinishTime': 1527281178804, u'videoPlayed': 46.916133, u'Type': u'ABR', u'lastChunkSize': 179801}
{u'lastRequest': 14, u'lastquality': 0, u'deviceTime': 1527281180242, u'lastChunkStartTime': 1527281179014, u'buffer': 11.767742999999996, u'bufferAdjusted': 7.217742999999995, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 167.81555269310343, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 22, u'totalFrames': 1190, u'corruptedFrames': 0, u'time': 59232}, u'lastChunkFinishTime': 1527281180220, u'videoPlayed': 48.312257, u'Type': u'ABR', u'lastChunkSize': 140051}
{u'lastRequest': 15, u'lastquality': 0, u'deviceTime': 1527281181522, u'lastChunkStartTime': 1527281180411, u'buffer': 14.460704999999997, u'bufferAdjusted': 9.910704999999997, u'nextChunkSize': [2289689, 1491626, 966699, 617242, 360831, 143509], u'bandwidthEst': 164.55899286408575, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1226, u'corruptedFrames': 0, u'time': 60626}, u'lastChunkFinishTime': 1527281181505, u'videoPlayed': 49.619295, u'Type': u'ABR', u'lastChunkSize': 138313}
{u'lastRequest': 16, u'lastquality': 0, u'deviceTime': 1527281182726, u'lastChunkStartTime': 1527281181673, u'buffer': 17.285393999999997, u'bufferAdjusted': 12.735394, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 844.1063331288369, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1254, u'corruptedFrames': 0, u'time': 61761}, u'lastChunkFinishTime': 1527281182705, u'videoPlayed': 50.794606, u'Type': u'ABR', u'lastChunkSize': 143509}
{u'lastRequest': 17, u'lastquality': 0, u'deviceTime': 1527281184032, u'lastChunkStartTime': 1527281182890, u'buffer': 19.984361, u'bufferAdjusted': 15.434361000000003, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 905.747124025491, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1289, u'corruptedFrames': 0, u'time': 63144}, u'lastChunkFinishTime': 1527281184011, u'videoPlayed': 52.095639, u'Type': u'ABR', u'lastChunkSize': 150616}
{u'lastRequest': 18, u'lastquality': 0, u'deviceTime': 1527281185414, u'lastChunkStartTime': 1527281184188, u'buffer': 22.567126000000002, u'bufferAdjusted': 18.017126000000005, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 1038.2539967396638, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1324, u'corruptedFrames': 0, u'time': 64562}, u'lastChunkFinishTime': 1527281185395, u'videoPlayed': 53.512874, u'Type': u'ABR', u'lastChunkSize': 165384}
{u'lastRequest': 19, u'lastquality': 0, u'deviceTime': 1527281186567, u'lastChunkStartTime': 1527281185580, u'buffer': 25.424704, u'bufferAdjusted': 20.874704, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 1087.722797013392, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1353, u'corruptedFrames': 0, u'time': 65704}, u'lastChunkFinishTime': 1527281186548, u'videoPlayed': 54.655296, u'Type': u'ABR', u'lastChunkSize': 140881}
{u'lastRequest': 20, u'lastquality': 0, u'deviceTime': 1527281187808, u'lastChunkStartTime': 1527281186731, u'buffer': 28.205188999999997, u'bufferAdjusted': 23.655189, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 1124.1212726521594, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1381, u'corruptedFrames': 0, u'time': 66842}, u'lastChunkFinishTime': 1527281187790, u'videoPlayed': 55.874811, u'Type': u'ABR', u'lastChunkSize': 157671}
{u'lastRequest': 21, u'lastquality': 0, u'deviceTime': 1527281189097, u'lastChunkStartTime': 1527281188026, u'buffer': 30.902457, u'bufferAdjusted': 26.352457, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 1140.6365727880248, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 25, u'totalFrames': 1418, u'corruptedFrames': 0, u'time': 68307}, u'lastChunkFinishTime': 1527281189077, u'videoPlayed': 57.177543, u'Type': u'ABR', u'lastChunkSize': 157812}
