{u'lastRequest': 15, u'lastquality': 4, u'deviceTime': 1557575604482, u'lastChunkStartTime': 1557575603942, u'buffer': 56.269342, u'nextChunkSize': [2289689, 1491626, 966699, 617242, 360831, 143509], u'bandwidthEst': 4088.1119317662997, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 231, u'corruptedFrames': 0, u'time': 14797.655}, u'lastChunkFinishTime': 1557575604258, u'videoPlayed': 7.794851, u'Type': u'BB', u'lastChunkSize': 129480}
{u'lastRequest': 16, u'lastquality': 4, u'deviceTime': 1557575605178, u'lastChunkStartTime': 1557575604569, u'buffer': 59.475932, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 4054.41239580139, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 256, u'corruptedFrames': 0, u'time': 15606.935}, u'lastChunkFinishTime': 1557575604844, u'videoPlayed': 8.524068, u'Type': u'BB', u'lastChunkSize': 136018}
{u'lastRequest': 17, u'lastquality': 4, u'deviceTime': 1557575608766, u'lastChunkStartTime': 1557575605371, u'buffer': 59.984759999999994, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 4039.8293329410144, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 362, u'corruptedFrames': 0, u'time': 19153.385000000002}, u'lastChunkFinishTime': 1557575605499, u'videoPlayed': 12.12274, u'Type': u'BB', u'lastChunkSize': 104734}
{u'lastRequest': 18, u'lastquality': 4, u'deviceTime': 1557575612947, u'lastChunkStartTime': 1557575608909, u'buffer': 59.723754, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 3696.704267703785, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 488, u'corruptedFrames': 0, u'time': 23351.235}, u'lastChunkFinishTime': 1557575609213, u'videoPlayed': 16.316523, u'Type': u'BB', u'lastChunkSize': 128386}
{u'lastRequest': 19, u'lastquality': 4, u'deviceTime': 1557575617048, u'lastChunkStartTime': 1557575613203, u'buffer': 59.877029, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 3731.3377825184502, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 604, u'corruptedFrames': 0, u'time': 27227.31}, u'lastChunkFinishTime': 1557575613458, u'videoPlayed': 20.364465, u'Type': u'BB', u'lastChunkSize': 121186}
{u'lastRequest': 20, u'lastquality': 4, u'deviceTime': 1557575621161, u'lastChunkStartTime': 1557575617230, u'buffer': 59.623502, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 3756.058186651584, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 732, u'corruptedFrames': 0, u'time': 31481.045000000002}, u'lastChunkFinishTime': 1557575617545, u'videoPlayed': 24.490754, u'Type': u'BB', u'lastChunkSize': 132116}
{u'lastRequest': 21, u'lastquality': 4, u'deviceTime': 1557575625217, u'lastChunkStartTime': 1557575621365, u'buffer': 59.56248599999999, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 3619.172276516365, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 855, u'corruptedFrames': 0, u'time': 35577.06}, u'lastChunkFinishTime': 1557575621647, u'videoPlayed': 28.588071, u'Type': u'BB', u'lastChunkSize': 117929}
{u'lastRequest': 22, u'lastquality': 4, u'deviceTime': 1557575628895, u'lastChunkStartTime': 1557575625481, u'buffer': 59.919438, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 3451.808050800157, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 963, u'corruptedFrames': 0, u'time': 39185.195}, u'lastChunkFinishTime': 1557575625770, u'videoPlayed': 32.23616, u'Type': u'BB', u'lastChunkSize': 125184}
{u'lastRequest': 23, u'lastquality': 4, u'deviceTime': 1557575632983, u'lastChunkStartTime': 1557575629124, u'buffer': 59.800171, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 3442.4414462758423, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 1087, u'corruptedFrames': 0, u'time': 43327.96}, u'lastChunkFinishTime': 1557575629420, u'videoPlayed': 36.318251, u'Type': u'BB', u'lastChunkSize': 123342}
{u'lastRequest': 24, u'lastquality': 4, u'deviceTime': 1557575637120, u'lastChunkStartTime': 1557575633134, u'buffer': 59.748276, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 3320.55492870213, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 1208, u'corruptedFrames': 0, u'time': 47359.03}, u'lastChunkFinishTime': 1557575633418, u'videoPlayed': 40.48886, u'Type': u'BB', u'lastChunkSize': 110636}
{u'lastRequest': 25, u'lastquality': 4, u'deviceTime': 1557575641116, u'lastChunkStartTime': 1557575637269, u'buffer': 59.621518, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 3401.591878297541, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 1331, u'corruptedFrames': 0, u'time': 51449.715000000004}, u'lastChunkFinishTime': 1557575637550, u'videoPlayed': 44.460398, u'Type': u'BB', u'lastChunkSize': 134530}
{u'lastRequest': 26, u'lastquality': 4, u'deviceTime': 1557575645149, u'lastChunkStartTime': 1557575641319, u'buffer': 59.500166, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 3419.7511617327305, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1454, u'corruptedFrames': 0, u'time': 55570.66}, u'lastChunkFinishTime': 1557575641606, u'videoPlayed': 48.499834, u'Type': u'BB', u'lastChunkSize': 123279}
{u'lastRequest': 27, u'lastquality': 4, u'deviceTime': 1557575649178, u'lastChunkStartTime': 1557575645275, u'buffer': 59.738886, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 3310.3299414870107, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1569, u'corruptedFrames': 0, u'time': 59398.665}, u'lastChunkFinishTime': 1557575645613, u'videoPlayed': 52.531418, u'Type': u'BB', u'lastChunkSize': 127402}
{u'lastRequest': 28, u'lastquality': 4, u'deviceTime': 1557575653211, u'lastChunkStartTime': 1557575649312, u'buffer': 59.470823, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 3280.0044712603813, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1695, u'corruptedFrames': 0, u'time': 63600.28}, u'lastChunkFinishTime': 1557575649606, u'videoPlayed': 56.56977, u'Type': u'BB', u'lastChunkSize': 117015}
{u'lastRequest': 29, u'lastquality': 4, u'deviceTime': 1557575657240, u'lastChunkStartTime': 1557575653370, u'buffer': 59.607602, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 3360.41254282953, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 1813, u'corruptedFrames': 0, u'time': 67530.14}, u'lastChunkFinishTime': 1557575653650, u'videoPlayed': 60.58255, u'Type': u'BB', u'lastChunkSize': 123876}
