{u'decodedSeries': 16, u'videoSeries': 0.406411, u'presentedSeries': 12, u'presentedTime': 1557682636692, u'decodedTime': 1557682636692, u'fpsSeries': 14, u'fpsTime': 1557682636692}
{u'decodedSeries': 45, u'videoSeries': 1.415367, u'presentedSeries': 42, u'presentedTime': 1557682637692, u'decodedTime': 1557682637692, u'fpsSeries': 44, u'fpsTime': 1557682637692}
{u'decodedSeries': 76, u'videoSeries': 2.386056, u'presentedSeries': 72, u'presentedTime': 1557682638692, u'decodedTime': 1557682638692, u'fpsSeries': 74, u'fpsTime': 1557682638692}
{u'decodedSeries': 106, u'videoSeries': 3.393424, u'presentedSeries': 102, u'presentedTime': 1557682639692, u'decodedTime': 1557682639692, u'fpsSeries': 104, u'fpsTime': 1557682639692}
{u'decodedSeries': 136, u'videoSeries': 4.402623, u'presentedSeries': 132, u'presentedTime': 1557682640695, u'decodedTime': 1557682640695, u'fpsSeries': 134, u'fpsTime': 1557682640695}
{u'decodedSeries': 166, u'videoSeries': 5.416269, u'presentedSeries': 162, u'presentedTime': 1557682641696, u'decodedTime': 1557682641696, u'fpsSeries': 164, u'fpsTime': 1557682641696}
{u'decodedSeries': 195, u'videoSeries': 6.386066, u'presentedSeries': 192, u'presentedTime': 1557682642697, u'decodedTime': 1557682642696, u'fpsSeries': 194, u'fpsTime': 1557682642697}
{u'decodedSeries': 226, u'videoSeries': 7.398131, u'presentedSeries': 222, u'presentedTime': 1557682643696, u'decodedTime': 1557682643696, u'fpsSeries': 224, u'fpsTime': 1557682643696}
{u'decodedSeries': 256, u'videoSeries': 8.40841, u'presentedSeries': 252, u'presentedTime': 1557682644697, u'decodedTime': 1557682644697, u'fpsSeries': 254, u'fpsTime': 1557682644697}
{u'decodedSeries': 285, u'videoSeries': 9.417505, u'presentedSeries': 282, u'presentedTime': 1557682645697, u'decodedTime': 1557682645697, u'fpsSeries': 283, u'fpsTime': 1557682645697}
{u'decodedSeries': 316, u'videoSeries': 10.388621, u'presentedSeries': 312, u'presentedTime': 1557682646699, u'decodedTime': 1557682646699, u'fpsSeries': 314, u'fpsTime': 1557682646699}
{u'decodedSeries': 346, u'videoSeries': 11.397515, u'presentedSeries': 342, u'presentedTime': 1557682647698, u'decodedTime': 1557682647698, u'fpsSeries': 344, u'fpsTime': 1557682647698}
{u'decodedSeries': 376, u'videoSeries': 12.411406, u'presentedSeries': 372, u'presentedTime': 1557682648697, u'decodedTime': 1557682648697, u'fpsSeries': 374, u'fpsTime': 1557682648697}
{u'decodedSeries': 406, u'videoSeries': 13.419801, u'presentedSeries': 402, u'presentedTime': 1557682649701, u'decodedTime': 1557682649701, u'fpsSeries': 404, u'fpsTime': 1557682649701}
{u'decodedSeries': 437, u'videoSeries': 14.427085, u'presentedSeries': 432, u'presentedTime': 1557682650701, u'decodedTime': 1557682650701, u'fpsSeries': 434, u'fpsTime': 1557682650701}
{u'decodedSeries': 466, u'videoSeries': 15.398117, u'presentedSeries': 462, u'presentedTime': 1557682651701, u'decodedTime': 1557682651701, u'fpsSeries': 464, u'fpsTime': 1557682651701}
{u'decodedSeries': 496, u'videoSeries': 16.405286, u'presentedSeries': 492, u'presentedTime': 1557682652701, u'decodedTime': 1557682652701, u'fpsSeries': 494, u'fpsTime': 1557682652701}
{u'decodedSeries': 526, u'videoSeries': 17.412878, u'presentedSeries': 522, u'presentedTime': 1557682653702, u'decodedTime': 1557682653702, u'fpsSeries': 524, u'fpsTime': 1557682653702}
{u'decodedSeries': 556, u'videoSeries': 18.420117, u'presentedSeries': 552, u'presentedTime': 1557682654702, u'decodedTime': 1557682654702, u'fpsSeries': 554, u'fpsTime': 1557682654702}
{u'decodedSeries': 586, u'videoSeries': 19.427302, u'presentedSeries': 582, u'presentedTime': 1557682655702, u'decodedTime': 1557682655702, u'fpsSeries': 584, u'fpsTime': 1557682655702}
{u'decodedSeries': 616, u'videoSeries': 20.395096, u'presentedSeries': 612, u'presentedTime': 1557682656702, u'decodedTime': 1557682656702, u'fpsSeries': 614, u'fpsTime': 1557682656702}
{u'decodedSeries': 646, u'videoSeries': 21.402958, u'presentedSeries': 642, u'presentedTime': 1557682657703, u'decodedTime': 1557682657702, u'fpsSeries': 644, u'fpsTime': 1557682657703}
{u'decodedSeries': 677, u'videoSeries': 22.411273, u'presentedSeries': 672, u'presentedTime': 1557682658703, u'decodedTime': 1557682658703, u'fpsSeries': 674, u'fpsTime': 1557682658703}
{u'decodedSeries': 707, u'videoSeries': 23.418528, u'presentedSeries': 702, u'presentedTime': 1557682659703, u'decodedTime': 1557682659703, u'fpsSeries': 704, u'fpsTime': 1557682659703}
{u'decodedSeries': 735, u'videoSeries': 24.426311, u'presentedSeries': 731, u'presentedTime': 1557682660713, u'decodedTime': 1557682660713, u'fpsSeries': 733, u'fpsTime': 1557682660713}
