{u'decodedSeries': 17, u'videoSeries': 0.445509, u'presentedSeries': 14, u'presentedTime': 1557661330200, u'decodedTime': 1557661330200, u'fpsSeries': 16, u'fpsTime': 1557661330200}
{u'decodedSeries': 48, u'videoSeries': 1.454873, u'presentedSeries': 44, u'presentedTime': 1557661331200, u'decodedTime': 1557661331200, u'fpsSeries': 46, u'fpsTime': 1557661331200}
{u'decodedSeries': 78, u'videoSeries': 2.465375, u'presentedSeries': 74, u'presentedTime': 1557661332200, u'decodedTime': 1557661332200, u'fpsSeries': 75, u'fpsTime': 1557661332200}
{u'decodedSeries': 107, u'videoSeries': 3.473477, u'presentedSeries': 104, u'presentedTime': 1557661333200, u'decodedTime': 1557661333200, u'fpsSeries': 106, u'fpsTime': 1557661333200}
{u'decodedSeries': 138, u'videoSeries': 4.482395, u'presentedSeries': 134, u'presentedTime': 1557661334200, u'decodedTime': 1557661334200, u'fpsSeries': 136, u'fpsTime': 1557661334200}
{u'decodedSeries': 167, u'videoSeries': 5.450282, u'presentedSeries': 164, u'presentedTime': 1557661335201, u'decodedTime': 1557661335201, u'fpsSeries': 165, u'fpsTime': 1557661335201}
{u'decodedSeries': 197, u'videoSeries': 6.459768, u'presentedSeries': 194, u'presentedTime': 1557661336201, u'decodedTime': 1557661336201, u'fpsSeries': 196, u'fpsTime': 1557661336201}
{u'decodedSeries': 227, u'videoSeries': 7.469394, u'presentedSeries': 224, u'presentedTime': 1557661337201, u'decodedTime': 1557661337200, u'fpsSeries': 226, u'fpsTime': 1557661337201}
{u'decodedSeries': 257, u'videoSeries': 8.478201, u'presentedSeries': 254, u'presentedTime': 1557661338201, u'decodedTime': 1557661338201, u'fpsSeries': 255, u'fpsTime': 1557661338201}
{u'decodedSeries': 287, u'videoSeries': 9.44971, u'presentedSeries': 284, u'presentedTime': 1557661339202, u'decodedTime': 1557661339201, u'fpsSeries': 286, u'fpsTime': 1557661339202}
{u'decodedSeries': 317, u'videoSeries': 10.459358, u'presentedSeries': 314, u'presentedTime': 1557661340203, u'decodedTime': 1557661340203, u'fpsSeries': 316, u'fpsTime': 1557661340203}
{u'decodedSeries': 347, u'videoSeries': 11.470101, u'presentedSeries': 344, u'presentedTime': 1557661341202, u'decodedTime': 1557661341202, u'fpsSeries': 346, u'fpsTime': 1557661341202}
{u'decodedSeries': 377, u'videoSeries': 12.47997, u'presentedSeries': 374, u'presentedTime': 1557661342203, u'decodedTime': 1557661342203, u'fpsSeries': 376, u'fpsTime': 1557661342203}
{u'decodedSeries': 408, u'videoSeries': 13.4485, u'presentedSeries': 404, u'presentedTime': 1557661343203, u'decodedTime': 1557661343203, u'fpsSeries': 406, u'fpsTime': 1557661343203}
{u'decodedSeries': 437, u'videoSeries': 14.462579, u'presentedSeries': 434, u'presentedTime': 1557661344203, u'decodedTime': 1557661344203, u'fpsSeries': 436, u'fpsTime': 1557661344203}
{u'decodedSeries': 468, u'videoSeries': 15.474128, u'presentedSeries': 464, u'presentedTime': 1557661345204, u'decodedTime': 1557661345204, u'fpsSeries': 465, u'fpsTime': 1557661345204}
{u'decodedSeries': 498, u'videoSeries': 16.442636, u'presentedSeries': 495, u'presentedTime': 1557661346221, u'decodedTime': 1557661346221, u'fpsSeries': 496, u'fpsTime': 1557661346221}
{u'decodedSeries': 528, u'videoSeries': 17.493661, u'presentedSeries': 525, u'presentedTime': 1557661347221, u'decodedTime': 1557661347221, u'fpsSeries': 526, u'fpsTime': 1557661347221}
{u'decodedSeries': 558, u'videoSeries': 18.502374, u'presentedSeries': 555, u'presentedTime': 1557661348221, u'decodedTime': 1557661348221, u'fpsSeries': 556, u'fpsTime': 1557661348221}
{u'decodedSeries': 588, u'videoSeries': 19.471759, u'presentedSeries': 585, u'presentedTime': 1557661349221, u'decodedTime': 1557661349221, u'fpsSeries': 586, u'fpsTime': 1557661349221}
{u'decodedSeries': 618, u'videoSeries': 20.484976, u'presentedSeries': 615, u'presentedTime': 1557661350221, u'decodedTime': 1557661350221, u'fpsSeries': 616, u'fpsTime': 1557661350221}
{u'decodedSeries': 648, u'videoSeries': 21.493587, u'presentedSeries': 645, u'presentedTime': 1557661351222, u'decodedTime': 1557661351222, u'fpsSeries': 646, u'fpsTime': 1557661351222}
