{u'decodedSeries': 18, u'videoSeries': 0.485836, u'presentedSeries': 14, u'presentedTime': 1557585909900, u'decodedTime': 1557585909900, u'fpsSeries': 12, u'fpsTime': 1557585909900}
{u'decodedSeries': 48, u'videoSeries': 1.458389, u'presentedSeries': 44, u'presentedTime': 1557585910909, u'decodedTime': 1557585910909, u'fpsSeries': 39, u'fpsTime': 1557585910909}
{u'decodedSeries': 82, u'videoSeries': 2.066666, u'presentedSeries': 79, u'presentedTime': 1557585912087, u'decodedTime': 1557585912087, u'fpsSeries': 65, u'fpsTime': 1557585912087}
{u'decodedSeries': 114, u'videoSeries': 3.661584, u'presentedSeries': 109, u'presentedTime': 1557585913094, u'decodedTime': 1557585913094, u'fpsSeries': 91, u'fpsTime': 1557585913094}
{u'decodedSeries': 144, u'videoSeries': 4.666666, u'presentedSeries': 131, u'presentedTime': 1557585914094, u'decodedTime': 1557585914094, u'fpsSeries': 111, u'fpsTime': 1557585914094}
{u'decodedSeries': 174, u'videoSeries': 5.672293, u'presentedSeries': 160, u'presentedTime': 1557585915094, u'decodedTime': 1557585915094, u'fpsSeries': 137, u'fpsTime': 1557585915094}
{u'decodedSeries': 203, u'videoSeries': 6.672987, u'presentedSeries': 190, u'presentedTime': 1557585916095, u'decodedTime': 1557585916095, u'fpsSeries': 164, u'fpsTime': 1557585916095}
{u'decodedSeries': 233, u'videoSeries': 7.661229, u'presentedSeries': 219, u'presentedTime': 1557585917098, u'decodedTime': 1557585917098, u'fpsSeries': 188, u'fpsTime': 1557585917098}
{u'decodedSeries': 264, u'videoSeries': 8.666666, u'presentedSeries': 246, u'presentedTime': 1557585918107, u'decodedTime': 1557585918107, u'fpsSeries': 211, u'fpsTime': 1557585918107}
{u'decodedSeries': 295, u'videoSeries': 9.6, u'presentedSeries': 270, u'presentedTime': 1557585919162, u'decodedTime': 1557585919162, u'fpsSeries': 227, u'fpsTime': 1557585919162}
{u'decodedSeries': 320, u'videoSeries': 10.633333, u'presentedSeries': 297, u'presentedTime': 1557585920193, u'decodedTime': 1557585920193, u'fpsSeries': 247, u'fpsTime': 1557585920193}
{u'decodedSeries': 358, u'videoSeries': 11.78877, u'presentedSeries': 320, u'presentedTime': 1557585921411, u'decodedTime': 1557585921411, u'fpsSeries': 265, u'fpsTime': 1557585921411}
{u'decodedSeries': 393, u'videoSeries': 12.996061, u'presentedSeries': 350, u'presentedTime': 1557585922433, u'decodedTime': 1557585922432, u'fpsSeries': 291, u'fpsTime': 1557585922433}
{u'decodedSeries': 425, u'videoSeries': 14.004647, u'presentedSeries': 381, u'presentedTime': 1557585923455, u'decodedTime': 1557585923455, u'fpsSeries': 317, u'fpsTime': 1557585923455}
{u'decodedSeries': 454, u'videoSeries': 15.033333, u'presentedSeries': 411, u'presentedTime': 1557585924456, u'decodedTime': 1557585924456, u'fpsSeries': 345, u'fpsTime': 1557585924456}
{u'decodedSeries': 485, u'videoSeries': 16.02065, u'presentedSeries': 440, u'presentedTime': 1557585925457, u'decodedTime': 1557585925457, u'fpsSeries': 374, u'fpsTime': 1557585925457}
{u'decodedSeries': 515, u'videoSeries': 17.055439, u'presentedSeries': 468, u'presentedTime': 1557585926458, u'decodedTime': 1557585926458, u'fpsSeries': 397, u'fpsTime': 1557585926458}
