{u'decodedSeries': 13, u'videoSeries': 0.284152, u'presentedSeries': 9, u'presentedTime': 1557663534794, u'decodedTime': 1557663534794, u'fpsSeries': 11, u'fpsTime': 1557663534794}
{u'decodedSeries': 42, u'videoSeries': 1.270824, u'presentedSeries': 39, u'presentedTime': 1557663535794, u'decodedTime': 1557663535794, u'fpsSeries': 42, u'fpsTime': 1557663535794}
{u'decodedSeries': 73, u'videoSeries': 2.285207, u'presentedSeries': 69, u'presentedTime': 1557663536794, u'decodedTime': 1557663536794, u'fpsSeries': 71, u'fpsTime': 1557663536795}
{u'decodedSeries': 102, u'videoSeries': 3.301563, u'presentedSeries': 99, u'presentedTime': 1557663537795, u'decodedTime': 1557663537794, u'fpsSeries': 101, u'fpsTime': 1557663537795}
{u'decodedSeries': 132, u'videoSeries': 4.273441, u'presentedSeries': 129, u'presentedTime': 1557663538801, u'decodedTime': 1557663538801, u'fpsSeries': 132, u'fpsTime': 1557663538801}
{u'decodedSeries': 162, u'videoSeries': 5.282143, u'presentedSeries': 159, u'presentedTime': 1557663539802, u'decodedTime': 1557663539801, u'fpsSeries': 162, u'fpsTime': 1557663539802}
{u'decodedSeries': 193, u'videoSeries': 6.291695, u'presentedSeries': 189, u'presentedTime': 1557663540802, u'decodedTime': 1557663540802, u'fpsSeries': 191, u'fpsTime': 1557663540802}
{u'decodedSeries': 222, u'videoSeries': 7.301794, u'presentedSeries': 219, u'presentedTime': 1557663541804, u'decodedTime': 1557663541803, u'fpsSeries': 222, u'fpsTime': 1557663541804}
{u'decodedSeries': 253, u'videoSeries': 8.284889, u'presentedSeries': 249, u'presentedTime': 1557663542815, u'decodedTime': 1557663542815, u'fpsSeries': 252, u'fpsTime': 1557663542815}
{u'decodedSeries': 284, u'videoSeries': 9.299005, u'presentedSeries': 279, u'presentedTime': 1557663543815, u'decodedTime': 1557663543815, u'fpsSeries': 282, u'fpsTime': 1557663543815}
{u'decodedSeries': 313, u'videoSeries': 10.30765, u'presentedSeries': 309, u'presentedTime': 1557663544816, u'decodedTime': 1557663544816, u'fpsSeries': 312, u'fpsTime': 1557663544816}
{u'decodedSeries': 343, u'videoSeries': 11.324175, u'presentedSeries': 339, u'presentedTime': 1557663545815, u'decodedTime': 1557663545815, u'fpsSeries': 342, u'fpsTime': 1557663545815}
{u'decodedSeries': 373, u'videoSeries': 12.294955, u'presentedSeries': 369, u'presentedTime': 1557663546816, u'decodedTime': 1557663546816, u'fpsSeries': 372, u'fpsTime': 1557663546816}
{u'decodedSeries': 403, u'videoSeries': 13.307557, u'presentedSeries': 399, u'presentedTime': 1557663547816, u'decodedTime': 1557663547816, u'fpsSeries': 402, u'fpsTime': 1557663547816}
{u'decodedSeries': 434, u'videoSeries': 14.331052, u'presentedSeries': 430, u'presentedTime': 1557663548822, u'decodedTime': 1557663548822, u'fpsSeries': 431, u'fpsTime': 1557663548822}
{u'decodedSeries': 463, u'videoSeries': 15.308223, u'presentedSeries': 460, u'presentedTime': 1557663549822, u'decodedTime': 1557663549822, u'fpsSeries': 461, u'fpsTime': 1557663549822}
{u'decodedSeries': 493, u'videoSeries': 16.333333, u'presentedSeries': 490, u'presentedTime': 1557663550822, u'decodedTime': 1557663550822, u'fpsSeries': 491, u'fpsTime': 1557663550822}
{u'decodedSeries': 523, u'videoSeries': 17.314673, u'presentedSeries': 520, u'presentedTime': 1557663551823, u'decodedTime': 1557663551823, u'fpsSeries': 521, u'fpsTime': 1557663551823}
{u'decodedSeries': 553, u'videoSeries': 18.329466, u'presentedSeries': 550, u'presentedTime': 1557663552823, u'decodedTime': 1557663552823, u'fpsSeries': 551, u'fpsTime': 1557663552823}
{u'decodedSeries': 584, u'videoSeries': 19.319755, u'presentedSeries': 580, u'presentedTime': 1557663553823, u'decodedTime': 1557663553823, u'fpsSeries': 581, u'fpsTime': 1557663553823}
{u'decodedSeries': 613, u'videoSeries': 20.312258, u'presentedSeries': 610, u'presentedTime': 1557663554826, u'decodedTime': 1557663554826, u'fpsSeries': 611, u'fpsTime': 1557663554826}
{u'decodedSeries': 644, u'videoSeries': 21.333333, u'presentedSeries': 640, u'presentedTime': 1557663555826, u'decodedTime': 1557663555826, u'fpsSeries': 641, u'fpsTime': 1557663555826}
{u'decodedSeries': 674, u'videoSeries': 22.315257, u'presentedSeries': 670, u'presentedTime': 1557663556827, u'decodedTime': 1557663556826, u'fpsSeries': 671, u'fpsTime': 1557663556827}
