{u'decodedSeries': 1024, u'videoSeries': 34.008792, u'presentedSeries': 971, u'presentedTime': 1557577118812, u'decodedTime': 1557577118812, u'fpsSeries': 882, u'fpsTime': 1557577118812}
{u'decodedSeries': 1054, u'videoSeries': 34.999338, u'presentedSeries': 1001, u'presentedTime': 1557577119813, u'decodedTime': 1557577119813, u'fpsSeries': 910, u'fpsTime': 1557577119813}
{u'decodedSeries': 1085, u'videoSeries': 36.025323, u'presentedSeries': 1031, u'presentedTime': 1557577120814, u'decodedTime': 1557577120814, u'fpsSeries': 940, u'fpsTime': 1557577120814}
{u'decodedSeries': 1113, u'videoSeries': 37, u'presentedSeries': 1061, u'presentedTime': 1557577121814, u'decodedTime': 1557577121814, u'fpsSeries': 967, u'fpsTime': 1557577121814}
{u'decodedSeries': 1145, u'videoSeries': 38.014385, u'presentedSeries': 1091, u'presentedTime': 1557577122815, u'decodedTime': 1557577122815, u'fpsSeries': 996, u'fpsTime': 1557577122815}
{u'decodedSeries': 1174, u'videoSeries': 39.003692, u'presentedSeries': 1121, u'presentedTime': 1557577123816, u'decodedTime': 1557577123816, u'fpsSeries': 1025, u'fpsTime': 1557577123816}
{u'decodedSeries': 1204, u'videoSeries': 40, u'presentedSeries': 1151, u'presentedTime': 1557577124817, u'decodedTime': 1557577124817, u'fpsSeries': 1054, u'fpsTime': 1557577124817}
{u'decodedSeries': 1234, u'videoSeries': 40.997679, u'presentedSeries': 1181, u'presentedTime': 1557577125818, u'decodedTime': 1557577125818, u'fpsSeries': 1083, u'fpsTime': 1557577125818}
{u'decodedSeries': 1265, u'videoSeries': 42.036807, u'presentedSeries': 1211, u'presentedTime': 1557577126834, u'decodedTime': 1557577126834, u'fpsSeries': 1112, u'fpsTime': 1557577126834}
{u'decodedSeries': 1295, u'videoSeries': 43.045988, u'presentedSeries': 1241, u'presentedTime': 1557577127835, u'decodedTime': 1557577127835, u'fpsSeries': 1140, u'fpsTime': 1557577127835}
{u'decodedSeries': 1325, u'videoSeries': 44.028828, u'presentedSeries': 1271, u'presentedTime': 1557577128835, u'decodedTime': 1557577128835, u'fpsSeries': 1170, u'fpsTime': 1557577128835}
{u'decodedSeries': 1354, u'videoSeries': 45.021221, u'presentedSeries': 1301, u'presentedTime': 1557577129836, u'decodedTime': 1557577129836, u'fpsSeries': 1198, u'fpsTime': 1557577129836}
{u'decodedSeries': 1385, u'videoSeries': 46.028347, u'presentedSeries': 1331, u'presentedTime': 1557577130837, u'decodedTime': 1557577130837, u'fpsSeries': 1227, u'fpsTime': 1557577130837}
{u'decodedSeries': 1414, u'videoSeries': 47.031731, u'presentedSeries': 1361, u'presentedTime': 1557577131837, u'decodedTime': 1557577131837, u'fpsSeries': 1256, u'fpsTime': 1557577131837}
