,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Youtube,2852.779,8500.516,276.534,3.174,0.0,4749.588,0.0,0.0,0.0,291.809,0.0,2102.5,0.0,697.001,0.0,126.173,0.0,103.657,0.0,0.0,25.142,124.938,0.0,-inf,8500.538,5721.259,-inf,4948.337
Bing,2005.03,5276.993,0.0,0.722,0.0,4459.513,0.0,0.0,0.0,18.634,0.0,427.816,0.0,216.88,0.0,9.713,0.0,2.246,0.0,0.0,24.658,116.811,0.0,-inf,7350.463,5276.958,-inf,930.804
BBC,11116.045,11989.799,526.019,0.55,0.0,4430.39,0.0,0.0,0.0,534.115,0.0,9487.526,0.0,934.075,0.0,30.792,0.0,364.868,0.0,0.0,24.743,204.359,0.0,-inf,13140.106,11989.776,-inf,36231.949
Sohu,18872.79748,25014.282,1.942,0.852,0.0,4323.887,0.0,0.0,0.0,18289.195,0.0,739.864,0.0,512.05,0.0,161.586,0.0,134.974,0.0,0.0,24.866,825.066,0.0,66459.622,25014.289,25014.242,-inf,61515.118
Jd,2180.176,3975.321,631.904,2.035,0.0,0.216,0.0,0.0,0.0,307.059,0.0,1026.623,0.0,1420.489,0.0,43.441,0.0,329.375,0.0,0.0,0.0,214.179,0.0,-inf,4622.588,2925.377,-inf,-inf
Nicovideo,3416.654,7239.44,85.672,0.581,0.0,4373.152,0.0,0.0,0.0,167.956,0.0,1895.472,0.0,358.505,0.0,25.918,0.0,156.209,0.0,0.0,20.88,155.095,0.0,40333.162,8387.293,7239.426,-inf,33998.248
PiratesBay,1028.176,6359.445,2.338,1.529,0.0,4857.69,0.0,0.0,0.0,63.132,0.0,720.485,0.0,273.231,0.0,43.992,0.0,120.604,0.0,0.0,28.225,248.219,0.0,-inf,6359.46,6359.412,-inf,4879.793
Soundcloud,4749.768,5384.124,0.569,5.493,0.0,4412.626,0.0,0.0,0.0,9.186,0.0,569.695,0.0,311.491,0.0,18.091,0.0,4.93,0.0,0.0,23.243,28.8,0.0,-inf,10018.373,5110.747,-inf,6517.666
Microsoft,2600.35447,7130.351,325.066,0.573,0.0,4448.86,0.0,0.0,0.0,38.976,0.0,1318.633,0.0,856.058,0.0,16.097,0.0,91.772,0.0,0.0,25.136,9.18,0.0,-inf,7823.018,7130.325,-inf,7864.311
Instagram,4624.064,5377.873,0.874,0.58,0.0,4389.665,0.0,0.0,0.0,93.004,0.0,544.321,0.0,247.828,0.0,7.365,0.0,61.217,0.0,0.0,23.792,9.227,0.0,-inf,11281.63,5377.849,-inf,8481.504
QQ,8847.207,1132.321,282.73,0.738,0.0,0.206,0.0,0.0,0.0,140.387,0.0,350.994,0.0,255.753,0.0,16.539,0.0,84.843,0.0,0.0,0.0,0.131,0.0,-inf,11461.792,1132.292,-inf,14400.516
Uptodown,6261.506,7788.582,40.364,3.03,0.0,4947.051,0.0,0.0,0.0,44.467,0.0,2495.715,0.0,560.785,0.0,486.902,0.0,503.123,0.0,0.0,25.829,412.661,0.0,40638.449,11213.551,7788.556,-inf,39446.379
Adobe,5058.88,11110.293,49.168,3.062,0.0,4914.086,0.0,0.0,0.0,187.75,0.0,2966.193,0.0,1843.075,0.0,105.229,0.0,174.585,0.0,0.0,25.147,841.998,0.0,-inf,11110.313,11110.268,-inf,25099.54
Apple,5430.082,7719.365,18.484,1.08,0.0,4360.831,0.0,0.0,0.0,72.287,0.0,2064.438,0.0,205.767,0.0,60.441,0.0,292.182,0.0,0.0,29.787,614.068,0.0,-inf,10736.416,7719.34,-inf,13673.239
Office,3834.403,9274.658,466.686,2.99,0.0,4329.36,0.0,0.0,0.0,277.303,0.0,2596.32,0.0,372.469,0.0,123.86,0.0,839.408,0.0,0.0,25.409,240.853,0.0,-inf,9274.674,9274.641,-inf,8970.663
Tmall,2096.196,7135.066,308.313,5.593,0.0,4313.316,0.0,0.0,0.0,239.88,0.0,2025.402,0.0,110.536,0.0,26.707,0.0,75.154,0.0,0.0,23.233,6.932,0.0,-inf,7135.074,7135.033,-inf,24249.509
Mozilla,2227.936,6853.836,1.435,0.747,0.0,4347.129,0.0,0.0,0.0,477.163,0.0,676.275,0.0,698.624,0.0,57.71,0.0,95.543,0.0,0.0,22.965,476.245,0.0,-inf,6853.844,6853.807,-inf,5586.756
Vk,3606.975,5319.625,1266.205,0.647,0.0,0.15,0.0,0.0,0.0,55.043,0.0,3586.038,0.0,148.412,0.0,25.077,0.0,49.486,0.0,0.0,0.0,188.567,0.0,-inf,5319.633,5319.6,-inf,7578.785
Blogspot,1569.582,7317.432,0.822,1.272,0.0,5156.629,0.0,0.0,0.0,98.504,0.0,624.161,0.0,701.488,0.0,69.539,0.0,269.873,0.0,0.0,26.287,368.857,0.0,-inf,7317.425,7317.401,-inf,8770.256
Linkedin,1858.166,7149.229,1.197,1.364,0.0,4907.941,0.0,0.0,0.0,196.356,0.0,817.06,0.0,739.917,0.0,46.576,0.0,58.155,0.0,0.0,26.115,354.548,0.0,-inf,7149.246,7149.197,-inf,2934.128
Aliexpress,3549.605,6058.595,177.684,1.096,0.0,4373.646,0.0,0.0,0.0,118.977,0.0,774.073,0.0,444.693,0.0,20.512,0.0,88.299,0.0,0.0,24.711,34.904,0.0,-inf,8761.745,5684.322,-inf,7597.196
Rakuten,20937.468,8022.371,313.649,2.845,0.0,4418.149,0.0,0.0,0.0,164.401,0.0,2386.913,0.0,356.91,0.0,32.271,0.0,206.339,0.0,0.0,25.979,114.915,0.0,-inf,29552.04,8022.351,-inf,17506.402
Yandex,1856.027,5487.114,0.538,1.102,0.0,4396.217,0.0,0.0,0.0,113.605,0.0,570.559,0.0,340.14,0.0,23.385,0.0,13.603,0.0,0.0,27.676,0.289,0.0,13291.315,6612.455,5487.087,-inf,6659.406
Popads,1378.915,6213.966,68.128,2.649,0.0,4377.122,0.0,0.0,0.0,61.102,0.0,1046.846,0.0,251.733,0.0,37.121,0.0,145.164,0.0,0.0,21.848,202.253,0.0,-inf,6214.007,5225.29,-inf,3396.26
Mail.ru,2407.88247,6436.303,21.414,1.467,0.0,4304.641,0.0,0.0,0.0,61.344,0.0,739.133,0.0,768.675,0.0,42.071,0.0,134.287,0.0,0.0,23.733,339.538,0.0,-inf,7554.166,6436.275,-inf,8233.918
