,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Youtube,3010.313,8204.419,260.816,2.586,0.0,4394.318,0.0,0.0,0.0,315.454,0.0,2105.237,0.0,655.47,0.0,120.476,0.0,81.25,0.0,0.0,23.918,244.894,0.0,-inf,8204.448,5337.801,-inf,4568.78
Bing,683.387,5242.35,0.024,0.664,0.0,4377.882,0.0,0.0,0.0,16.57,0.0,470.374,0.0,231.734,0.0,10.664,0.0,2.588,0.0,0.0,23.239,108.611,0.0,-inf,5242.343,5242.323,-inf,942.623
BBC,11721.769,13132.098,606.974,3.907,0.0,4405.304,0.0,0.0,0.0,554.202,0.0,9711.201,0.0,913.415,0.0,846.26,0.0,352.275,0.0,0.0,24.862,183.364,0.0,-inf,14216.027,13132.077,13166.696,32685.154
Sohu,18819.863499,24863.109,1.031,1.634,0.0,4407.708,0.0,0.0,0.0,18152.025,0.0,770.133,0.0,514.107,0.0,169.874,0.0,88.938,0.0,0.0,23.544,734.115,0.0,66663.739,24863.117,24863.078,-inf,61604.609
Jd,2192.117,4046.581,688.581,1.812,0.0,0.23,0.0,0.0,0.0,267.912,0.0,1091.23,0.0,1286.89,0.0,61.429,0.0,410.006,0.0,0.0,0.0,238.491,0.0,-inf,4637.743,2871.286,-inf,-inf
Nicovideo,3454.141,7340.123,72.691,0.63,0.0,4380.593,0.0,0.0,0.0,184.669,0.0,1975.291,0.0,374.175,0.0,29.705,0.0,134.734,0.0,0.0,25.927,161.708,0.0,-inf,8545.621,7340.1,-inf,36744.386
PiratesBay,1046.146,6487.212,25.218,1.343,0.0,4938.196,0.0,0.0,0.0,68.734,0.0,657.383,0.0,332.812,0.0,37.79,0.0,142.223,0.0,0.0,23.211,260.302,0.0,-inf,6487.23,6487.166,-inf,4704.113
Soundcloud,4752.2,7962.675,0.823,1.679,0.0,4334.929,0.0,0.0,0.0,51.15,0.0,638.702,0.0,2695.161,0.0,28.982,0.0,13.146,0.0,0.0,25.953,172.15,0.0,-inf,9967.461,5047.089,-inf,6589.71
Microsoft,2622.46,7120.039,300.742,0.527,0.0,4418.404,0.0,0.0,0.0,48.25,0.0,1343.615,0.0,872.776,0.0,12.002,0.0,77.354,0.0,0.0,31.752,14.617,0.0,-inf,7811.532,7120.015,-inf,7826.403
Instagram,4598.577,5389.808,1.074,0.554,0.0,4401.331,0.0,0.0,0.0,98.538,0.0,533.091,0.0,250.986,0.0,7.46,0.0,63.996,0.0,0.0,22.522,10.256,0.0,-inf,11657.928,5389.779,-inf,8914.058
QQ,8917.546,990.433,245.774,0.722,0.0,0.192,0.0,0.0,0.0,124.029,0.0,302.803,0.0,236.054,0.0,17.747,0.0,62.997,0.0,0.0,0.0,0.115,0.0,-inf,11449.134,990.407,-inf,14473.336
Uptodown,5131.383,7757.49,55.319,2.52,0.0,4903.472,0.0,0.0,0.0,43.89,0.0,1929.457,0.0,523.515,0.0,492.078,0.0,364.06,0.0,0.0,30.058,400.076,0.0,35288.392,11081.293,7757.464,-inf,34282.019
Google,1016.61,5303.886,0.153,0.572,0.0,4379.698,0.0,0.0,0.0,115.939,0.0,496.811,0.0,225.931,0.0,12.2,0.0,7.975,0.0,0.0,25.334,39.273,0.0,-inf,5590.598,5303.87,-inf,5915.981
Adobe,11256.791,17833.922,654.601,3.383,0.0,4350.597,0.0,0.0,0.0,203.929,0.0,7483.339,0.0,1567.991,0.0,131.091,0.0,2958.589,0.0,0.0,25.134,455.268,0.0,-inf,17833.94,17833.898,-inf,21285.905
Apple,5892.358,9192.761,63.545,1.502,0.0,4903.955,0.0,0.0,0.0,122.882,0.0,2575.207,0.0,243.506,0.0,82.382,0.0,409.104,0.0,0.0,26.235,764.443,0.0,-inf,12277.354,9192.734,-inf,14662.902
Office,3864.338499,9991.014,264.172,4.574,0.0,4893.296,0.0,0.0,0.0,304.353,0.0,3297.55,0.0,495.589,0.0,97.791,0.0,327.52,0.0,0.0,31.616,274.553,0.0,-inf,9991.032,9990.996,-inf,10737.538
Tmall,1855.468,6908.152,384.022,2.131,0.0,4345.72,0.0,0.0,0.0,234.685,0.0,1730.333,0.0,131.99,0.0,22.318,0.0,23.213,0.0,0.0,23.9,9.84,0.0,-inf,6908.16,6908.127,-inf,24220.858
Mozilla,2161.428,7740.225,1.529,0.788,0.0,4968.41,0.0,0.0,0.0,385.214,0.0,881.784,0.0,967.297,0.0,65.004,0.0,77.661,0.0,0.0,29.317,363.221,0.0,-inf,7740.234,7740.202,-inf,8161.629
Vk,3558.603,5387.386,1393.096,0.835,0.0,0.278,0.0,0.0,0.0,58.369,0.0,3492.979,0.0,183.524,0.0,23.069,0.0,47.722,0.0,0.0,0.0,187.514,0.0,-inf,5387.393,5387.365,-inf,7510.228
Blogspot,1612.631,7433.913,0.801,2.257,0.0,5204.557,0.0,0.0,0.0,124.274,0.0,573.773,0.0,778.923,0.0,76.812,0.0,283.74,0.0,0.0,23.417,365.359,0.0,-inf,7433.905,7433.875,-inf,8979.428
Linkedin,1878.913,7251.422,1.165,1.137,0.0,4952.675,0.0,0.0,0.0,204.456,0.0,822.033,0.0,796.373,0.0,44.697,0.0,34.345,0.0,0.0,28.782,365.759,0.0,-inf,7251.441,7251.395,-inf,2973.123
Aliexpress,3541.417,5994.202,157.045,1.405,0.0,4334.11,0.0,0.0,0.0,116.962,0.0,829.453,0.0,413.268,0.0,20.1,0.0,67.903,0.0,0.0,24.769,29.187,0.0,-inf,8737.395,5649.105,-inf,7658.87
Rakuten,21101.034,9432.744,348.812,2.777,0.0,4939.772,0.0,0.0,0.0,189.952,0.0,3038.952,0.0,495.839,0.0,28.629,0.0,241.633,0.0,0.0,26.39,119.988,0.0,63614.322,31036.012,9432.726,-inf,47658.347
Yandex,2131.077,6251.131,0.548,0.889,0.0,4909.508,0.0,0.0,0.0,151.779,0.0,670.533,0.0,442.31,0.0,34.792,0.0,13.458,0.0,0.0,26.939,0.375,0.0,-inf,7660.784,6251.109,-inf,7468.332
Popads,1543.524,7072.36,26.785,6.982,0.0,4859.949,0.0,0.0,0.0,85.689,0.0,1318.061,0.0,250.788,0.0,41.611,0.0,172.443,0.0,0.0,27.67,282.382,0.0,-inf,7072.396,5921.024,-inf,3966.818
Mail.ru,2394.451,6441.694,2.286,1.452,0.0,4395.697,0.0,0.0,0.0,70.175,0.0,721.146,0.0,749.426,0.0,36.888,0.0,135.652,0.0,0.0,22.249,306.723,0.0,-inf,7601.766,6437.057,-inf,8168.799
