{u'lastRequest': 18, u'lastquality': 4, u'deviceTime': 1557576882123, u'lastChunkStartTime': 1557576878393, u'buffer': 59.371777, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 4416.983689498453, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 58, u'totalFrames': 499, u'corruptedFrames': 0, u'time': 24959.83}, u'lastChunkFinishTime': 1557576878687, u'videoPlayed': 16.669084, u'Type': u'BB', u'lastChunkSize': 128386}
{u'lastRequest': 19, u'lastquality': 4, u'deviceTime': 1557576885746, u'lastChunkStartTime': 1557576882577, u'buffer': 59.944272, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 4437.591479859683, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 61, u'totalFrames': 602, u'corruptedFrames': 0, u'time': 28389.96}, u'lastChunkFinishTime': 1557576882835, u'videoPlayed': 20.312901, u'Type': u'BB', u'lastChunkSize': 121186}
{u'lastRequest': 20, u'lastquality': 4, u'deviceTime': 1557576889763, u'lastChunkStartTime': 1557576886039, u'buffer': 59.887027, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 4001.747230899712, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 74, u'totalFrames': 724, u'corruptedFrames': 0, u'time': 32461.485}, u'lastChunkFinishTime': 1557576886354, u'videoPlayed': 24.314562, u'Type': u'BB', u'lastChunkSize': 132116}
{u'lastRequest': 21, u'lastquality': 4, u'deviceTime': 1557576893756, u'lastChunkStartTime': 1557576890222, u'buffer': 59.85584, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 3397.9659192126874, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 77, u'totalFrames': 846, u'corruptedFrames': 0, u'time': 36512.985}, u'lastChunkFinishTime': 1557576890570, u'videoPlayed': 28.299394, u'Type': u'BB', u'lastChunkSize': 117929}
{u'lastRequest': 22, u'lastquality': 4, u'deviceTime': 1557576897743, u'lastChunkStartTime': 1557576894077, u'buffer': 59.857594999999996, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 3288.2705435998873, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 108, u'totalFrames': 965, u'corruptedFrames': 0, u'time': 40475.725}, u'lastChunkFinishTime': 1557576894362, u'videoPlayed': 32.31052, u'Type': u'BB', u'lastChunkSize': 125184}
{u'lastRequest': 23, u'lastquality': 4, u'deviceTime': 1557576902062, u'lastChunkStartTime': 1557576898130, u'buffer': 59.518595, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 3300.999093734362, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 124, u'totalFrames': 1095, u'corruptedFrames': 0, u'time': 44815.37}, u'lastChunkFinishTime': 1557576898405, u'videoPlayed': 36.596462, u'Type': u'BB', u'lastChunkSize': 123342}
{u'lastRequest': 24, u'lastquality': 4, u'deviceTime': 1557576905777, u'lastChunkStartTime': 1557576902357, u'buffer': 59.949559, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 3255.4851229404258, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 132, u'totalFrames': 1202, u'corruptedFrames': 0, u'time': 48384.995}, u'lastChunkFinishTime': 1557576902614, u'videoPlayed': 40.3, u'Type': u'BB', u'lastChunkSize': 110636}
{u'lastRequest': 25, u'lastquality': 4, u'deviceTime': 1557576909826, u'lastChunkStartTime': 1557576906131, u'buffer': 59.772601, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 3167.1188200941806, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 140, u'totalFrames': 1326, u'corruptedFrames': 0, u'time': 52527.37}, u'lastChunkFinishTime': 1557576906492, u'videoPlayed': 44.395492, u'Type': u'BB', u'lastChunkSize': 134530}
{u'lastRequest': 26, u'lastquality': 4, u'deviceTime': 1557576913702, u'lastChunkStartTime': 1557576910148, u'buffer': 59.739486, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 3343.7756644411343, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 155, u'totalFrames': 1447, u'corruptedFrames': 0, u'time': 56560.885}, u'lastChunkFinishTime': 1557576910439, u'videoPlayed': 48.260514, u'Type': u'BB', u'lastChunkSize': 123279}
{u'lastRequest': 27, u'lastquality': 4, u'deviceTime': 1557576917936, u'lastChunkStartTime': 1557576913999, u'buffer': 59.791345, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 3288.093099575122, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 156, u'totalFrames': 1568, u'corruptedFrames': 0, u'time': 60578.285}, u'lastChunkFinishTime': 1557576914315, u'videoPlayed': 52.483772, u'Type': u'BB', u'lastChunkSize': 127402}
{u'lastRequest': 28, u'lastquality': 4, u'deviceTime': 1557576922005, u'lastChunkStartTime': 1557576918096, u'buffer': 59.59233, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 3256.5016515016937, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 156, u'totalFrames': 1692, u'corruptedFrames': 0, u'time': 64707.265}, u'lastChunkFinishTime': 1557576918372, u'videoPlayed': 56.580854, u'Type': u'BB', u'lastChunkSize': 117015}
{u'lastRequest': 29, u'lastquality': 4, u'deviceTime': 1557576926063, u'lastChunkStartTime': 1557576922199, u'buffer': 59.581739999999996, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 3244.0800886304414, u'RebufferTime': 489, u'droppedFrames': {u'droppedFrames': 158, u'totalFrames': 1814, u'corruptedFrames': 0, u'time': 68784.6}, u'lastChunkFinishTime': 1557576922495, u'videoPlayed': 60.606272, u'Type': u'BB', u'lastChunkSize': 123876}
