{u'lastRequest': 15, u'lastquality': 4, u'deviceTime': 1557575406800, u'lastChunkStartTime': 1557575406660, u'buffer': 56.667922, u'nextChunkSize': [2289689, 1491626, 966699, 617242, 360831, 143509], u'bandwidthEst': 5412.7205096809075, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 214, u'corruptedFrames': 0, u'time': 14286.545}, u'lastChunkFinishTime': 1557575406691, u'videoPlayed': 7.332078, u'Type': u'BB', u'lastChunkSize': 129480}
{u'lastRequest': 16, u'lastquality': 4, u'deviceTime': 1557575407916, u'lastChunkStartTime': 1557575407120, u'buffer': 59.708775, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 7390.95130368711, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 249, u'corruptedFrames': 0, u'time': 15435.86}, u'lastChunkFinishTime': 1557575407241, u'videoPlayed': 8.427999, u'Type': u'BB', u'lastChunkSize': 136018}
{u'lastRequest': 17, u'lastquality': 4, u'deviceTime': 1557575412111, u'lastChunkStartTime': 1557575408166, u'buffer': 59.54172, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 5940.401889090622, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 6, u'totalFrames': 375, u'corruptedFrames': 0, u'time': 19655.215}, u'lastChunkFinishTime': 1557575408370, u'videoPlayed': 12.711601, u'Type': u'BB', u'lastChunkSize': 104734}
{u'lastRequest': 18, u'lastquality': 4, u'deviceTime': 1557575415768, u'lastChunkStartTime': 1557575412258, u'buffer': 59.866667, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 5152.801990055565, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 6, u'totalFrames': 484, u'corruptedFrames': 0, u'time': 23278.635000000002}, u'lastChunkFinishTime': 1557575412529, u'videoPlayed': 16.38171, u'Type': u'BB', u'lastChunkSize': 128386}
{u'lastRequest': 19, u'lastquality': 4, u'deviceTime': 1557575419844, u'lastChunkStartTime': 1557575415972, u'buffer': 59.747192, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 4368.228742590871, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 608, u'corruptedFrames': 0, u'time': 27419.71}, u'lastChunkFinishTime': 1557575416247, u'videoPlayed': 20.426986, u'Type': u'BB', u'lastChunkSize': 121186}
{u'lastRequest': 20, u'lastquality': 4, u'deviceTime': 1557575423926, u'lastChunkStartTime': 1557575420054, u'buffer': 59.614607, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 4028.718472186464, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 732, u'corruptedFrames': 0, u'time': 31551.025}, u'lastChunkFinishTime': 1557575420330, u'videoPlayed': 24.54947, u'Type': u'BB', u'lastChunkSize': 132116}
{u'lastRequest': 21, u'lastquality': 4, u'deviceTime': 1557575427978, u'lastChunkStartTime': 1557575424095, u'buffer': 59.478734, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 3698.9225061380926, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 857, u'corruptedFrames': 0, u'time': 35718.725}, u'lastChunkFinishTime': 1557575424371, u'videoPlayed': 28.587932, u'Type': u'BB', u'lastChunkSize': 117929}
{u'lastRequest': 22, u'lastquality': 4, u'deviceTime': 1557575431997, u'lastChunkStartTime': 1557575428150, u'buffer': 59.600494, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 3644.264742550816, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 972, u'corruptedFrames': 0, u'time': 39562.38}, u'lastChunkFinishTime': 1557575428421, u'videoPlayed': 32.576357, u'Type': u'BB', u'lastChunkSize': 125184}
{u'lastRequest': 23, u'lastquality': 4, u'deviceTime': 1557575436027, u'lastChunkStartTime': 1557575432165, u'buffer': 59.517965, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 3572.986582176941, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 1095, u'corruptedFrames': 0, u'time': 43645.06}, u'lastChunkFinishTime': 1557575432452, u'videoPlayed': 36.63854, u'Type': u'BB', u'lastChunkSize': 123342}
{u'lastRequest': 24, u'lastquality': 4, u'deviceTime': 1557575439620, u'lastChunkStartTime': 1557575436217, u'buffer': 59.876024, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 3293.7007302760653, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 1204, u'corruptedFrames': 0, u'time': 47287.105}, u'lastChunkFinishTime': 1557575436557, u'videoPlayed': 40.2452, u'Type': u'BB', u'lastChunkSize': 110636}
{u'lastRequest': 25, u'lastquality': 4, u'deviceTime': 1557575443645, u'lastChunkStartTime': 1557575439783, u'buffer': 59.89252, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 3288.7592840221773, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 1323, u'corruptedFrames': 0, u'time': 51237.28}, u'lastChunkFinishTime': 1557575440068, u'videoPlayed': 44.229735, u'Type': u'BB', u'lastChunkSize': 134530}
{u'lastRequest': 26, u'lastquality': 4, u'deviceTime': 1557575447634, u'lastChunkStartTime': 1557575443788, u'buffer': 59.752426, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 3316.8809572320597, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 9, u'totalFrames': 1447, u'corruptedFrames': 0, u'time': 55377.33}, u'lastChunkFinishTime': 1557575444063, u'videoPlayed': 48.247574, u'Type': u'BB', u'lastChunkSize': 123279}
{u'lastRequest': 27, u'lastquality': 4, u'deviceTime': 1557575451644, u'lastChunkStartTime': 1557575447780, u'buffer': 59.892845, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 3314.0039388936652, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 9, u'totalFrames': 1565, u'corruptedFrames': 0, u'time': 59303.725}, u'lastChunkFinishTime': 1557575448058, u'videoPlayed': 52.255227, u'Type': u'BB', u'lastChunkSize': 127402}
{u'lastRequest': 28, u'lastquality': 4, u'deviceTime': 1557575455606, u'lastChunkStartTime': 1557575451768, u'buffer': 59.926142, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 3321.7522021366667, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 9, u'totalFrames': 1682, u'corruptedFrames': 0, u'time': 63221.25}, u'lastChunkFinishTime': 1557575452036, u'videoPlayed': 56.206668, u'Type': u'BB', u'lastChunkSize': 117015}
{u'lastRequest': 29, u'lastquality': 4, u'deviceTime': 1557575460120, u'lastChunkStartTime': 1557575455780, u'buffer': 59.538453999999994, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 3611.1118070071084, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 11, u'totalFrames': 1816, u'corruptedFrames': 0, u'time': 67690.705}, u'lastChunkFinishTime': 1557575456060, u'videoPlayed': 60.696921, u'Type': u'BB', u'lastChunkSize': 123876}
