,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Netflix,1159.624,3617.649,0.878,0.78,0.0,2295.846,0.0,0.0,0.0,229.159,0.0,532.999,0.0,259.429,0.0,36.537,0.0,26.415,0.0,0.0,16.881,218.725,0.0,-inf,3617.657,3617.63,-inf,8003.533
Wikia,2855.682,5842.142,1.16,2.731,0.0,2724.994,0.0,0.0,0.0,273.451,0.0,1063.841,0.0,664.779,0.0,167.967,0.0,95.532,0.0,0.0,17.376,830.311,0.0,-inf,5842.157,5842.111,-inf,31693.121
Youtube,1432.432,2718.235,78.924,1.506,0.0,1146.344,0.0,0.0,0.0,142.422,0.0,887.463,0.0,265.493,0.0,63.071,0.0,29.94,0.0,0.0,7.701,95.371,0.0,-inf,2718.251,1530.27,-inf,1890.214
Bing,1836.90146,2994.602,0.024,0.78,0.0,2298.196,0.0,0.0,0.0,17.468,0.0,375.17,0.0,189.097,0.0,10.785,0.0,1.928,0.0,0.0,17.468,83.686,0.0,-inf,4407.132,2994.575,-inf,726.655
BBC,11395.929,11373.095,174.21,4.068,0.0,2348.104,0.0,0.0,0.0,538.593,0.0,9028.706,0.0,846.359,0.0,407.922,0.0,270.352,0.0,0.0,12.746,192.94,0.0,-inf,12338.772,11373.079,9950.802,35413.859
Sohu,12964.324,15192.965,1.056,0.86,0.0,1927.533,0.0,0.0,0.0,11563.599,0.0,536.99,0.0,349.043,0.0,147.964,0.0,88.962,0.0,0.0,14.625,562.333,0.0,43132.748,15192.973,15192.934,-inf,40599.75
Ask,742.392,3204.705,9.216,0.963,0.0,2316.544,0.0,0.0,0.0,37.085,0.0,507.63,0.0,99.655,0.0,24.637,0.0,49.169,0.0,0.0,17.641,142.165,0.0,-inf,3204.72,3204.681,-inf,3118.01
Nicovideo,3330.332,4896.799,50.083,0.641,0.0,2282.789,0.0,0.0,0.0,136.49,0.0,1891.916,0.0,268.071,0.0,24.623,0.0,80.5,0.0,0.0,17.541,144.145,0.0,36709.657,5916.309,4896.773,-inf,32672.049
PiratesBay,947.403,3642.523,0.677,0.84,0.0,2590.192,0.0,0.0,0.0,52.083,0.0,684.417,0.0,193.214,0.0,28.263,0.0,76.291,0.0,0.0,16.46,0.086,0.0,-inf,3642.545,3642.495,-inf,3846.447
Microsoft,2483.246,4291.643,1.271,0.533,0.0,2278.44,0.0,0.0,0.0,34.409,0.0,1130.184,0.0,759.047,0.0,10.543,0.0,53.11,0.0,0.0,16.155,7.951,0.0,-inf,4915.718,4291.62,-inf,5336.071
Instagram,3667.53,2611.576,0.932,0.487,0.0,1941.768,0.0,0.0,0.0,70.517,0.0,389.199,0.0,154.171,0.0,5.657,0.0,28.803,0.0,0.0,12.226,7.816,0.0,-inf,6210.934,2611.561,-inf,4904.535
QQ,5416.625,558.81,143.538,0.597,0.0,0.145,0.0,0.0,0.0,54.246,0.0,181.309,0.0,130.134,0.0,6.737,0.0,42.021,0.0,0.0,0.0,0.083,0.0,-inf,5780.531,558.779,-inf,8124.897
Adf,2336.651,5029.108,134.451,0.549,0.0,2330.308,0.0,0.0,0.0,136.619,0.0,1933.009,0.0,199.058,0.0,22.243,0.0,132.048,0.0,0.0,17.768,123.055,0.0,-inf,5029.123,5029.087,-inf,9647.971
Google,486.468,1563.767,0.075,0.38,0.0,1177.867,0.0,0.0,0.0,45.771,0.0,205.253,0.0,98.257,0.0,6.023,0.0,3.39,0.0,0.0,8.911,17.84,0.0,-inf,1685.739,1563.751,-inf,2473.832
Adobe,10574.34,13538.264,21.613,3.179,0.0,2332.113,0.0,0.0,0.0,350.942,0.0,5373.495,0.0,1458.217,0.0,135.436,0.0,3023.43,0.0,0.0,17.354,822.485,0.0,-inf,13538.603,13538.238,-inf,20555.007
