{u'lastRequest': 14, u'lastquality': 4, u'deviceTime': 1557662002157, u'lastChunkStartTime': 1557662001504, u'buffer': 49.340483, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 33249.96379189765, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 319, u'corruptedFrames': 0, u'time': 26548}, u'lastChunkFinishTime': 1557662002056, u'videoPlayed': 10.659517, u'Type': u'BB', u'lastChunkSize': 2189508}
{u'lastRequest': 15, u'lastquality': 4, u'deviceTime': 1557662002981, u'lastChunkStartTime': 1557662002280, u'buffer': 52.566666999999995, u'nextChunkSize': [2289689, 1491626, 966699, 617242, 360831, 143509], u'bandwidthEst': 33409.51256430283, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 343, u'corruptedFrames': 0, u'time': 27366}, u'lastChunkFinishTime': 1557662002850, u'videoPlayed': 11.466666, u'Type': u'BB', u'lastChunkSize': 2368991}
{u'lastRequest': 16, u'lastquality': 4, u'deviceTime': 1557662003581, u'lastChunkStartTime': 1557662003108, u'buffer': 55.917615, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 33112.77131007732, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 361, u'corruptedFrames': 0, u'time': 27935}, u'lastChunkFinishTime': 1557662003537, u'videoPlayed': 12.082385, u'Type': u'BB', u'lastChunkSize': 1918208}
{u'lastRequest': 17, u'lastquality': 4, u'deviceTime': 1557662004241, u'lastChunkStartTime': 1557662003705, u'buffer': 59.338620999999996, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 32533.530801822915, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 378, u'corruptedFrames': 0, u'time': 28507}, u'lastChunkFinishTime': 1557662004188, u'videoPlayed': 12.728045, u'Type': u'BB', u'lastChunkSize': 1965776}
{u'lastRequest': 18, u'lastquality': 4, u'deviceTime': 1557662007554, u'lastChunkStartTime': 1557662004350, u'buffer': 59.99535, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 32690.88309940432, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 480, u'corruptedFrames': 0, u'time': 31908}, u'lastChunkFinishTime': 1557662004968, u'videoPlayed': 16.045014, u'Type': u'BB', u'lastChunkSize': 2416380}
{u'lastRequest': 19, u'lastquality': 4, u'deviceTime': 1557662012087, u'lastChunkStartTime': 1557662007697, u'buffer': 59.484598, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 28242.134595195577, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 616, u'corruptedFrames': 0, u'time': 36449}, u'lastChunkFinishTime': 1557662008514, u'videoPlayed': 20.589157, u'Type': u'BB', u'lastChunkSize': 2109234}
{u'lastRequest': 20, u'lastquality': 4, u'deviceTime': 1557662015726, u'lastChunkStartTime': 1557662012231, u'buffer': 59.830467999999996, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 25131.03997425146, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 724, u'corruptedFrames': 0, u'time': 40102}, u'lastChunkFinishTime': 1557662013127, u'videoPlayed': 24.243226, u'Type': u'BB', u'lastChunkSize': 2339121}
{u'lastRequest': 21, u'lastquality': 4, u'deviceTime': 1557662020027, u'lastChunkStartTime': 1557662015875, u'buffer': 59.567681, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 21722.583866229048, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 849, u'corruptedFrames': 0, u'time': 44332}, u'lastChunkFinishTime': 1557662016899, u'videoPlayed': 28.513004, u'Type': u'BB', u'lastChunkSize': 2198018}
{u'lastRequest': 22, u'lastquality': 4, u'deviceTime': 1557662023665, u'lastChunkStartTime': 1557662020155, u'buffer': 59.893406, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 19778.439557731403, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 960, u'corruptedFrames': 0, u'time': 48007}, u'lastChunkFinishTime': 1557662021069, u'videoPlayed': 32.146936, u'Type': u'BB', u'lastChunkSize': 1934037}
{u'lastRequest': 23, u'lastquality': 4, u'deviceTime': 1557662027631, u'lastChunkStartTime': 1557662023803, u'buffer': 59.948654, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 17682.357152441073, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1079, u'corruptedFrames': 0, u'time': 51984}, u'lastChunkFinishTime': 1557662025018, u'videoPlayed': 36.125384, u'Type': u'BB', u'lastChunkSize': 2332684}
{u'lastRequest': 24, u'lastquality': 4, u'deviceTime': 1557662031868, u'lastChunkStartTime': 1557662027767, u'buffer': 59.688031, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 17662.879170513344, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1207, u'corruptedFrames': 0, u'time': 56245}, u'lastChunkFinishTime': 1557662028281, u'videoPlayed': 40.38559, u'Type': u'BB', u'lastChunkSize': 1454414}
{u'lastRequest': 25, u'lastquality': 4, u'deviceTime': 1557662035869, u'lastChunkStartTime': 1557662032009, u'buffer': 59.672897, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 17658.54263232699, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1325, u'corruptedFrames': 0, u'time': 60226}, u'lastChunkFinishTime': 1557662033210, u'videoPlayed': 44.367986, u'Type': u'BB', u'lastChunkSize': 2993173}
{u'lastRequest': 26, u'lastquality': 4, u'deviceTime': 1557662040026, u'lastChunkStartTime': 1557662036010, u'buffer': 59.748858, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 17583.088696835337, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1444, u'corruptedFrames': 0, u'time': 64217}, u'lastChunkFinishTime': 1557662036932, u'videoPlayed': 48.519653, u'Type': u'BB', u'lastChunkSize': 1931522}
{u'lastRequest': 27, u'lastquality': 4, u'deviceTime': 1557662043914, u'lastChunkStartTime': 1557662040163, u'buffer': 59.748928, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 17483.9451450098, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1562, u'corruptedFrames': 0, u'time': 68152}, u'lastChunkFinishTime': 1557662041295, u'videoPlayed': 52.414464, u'Type': u'BB', u'lastChunkSize': 2355606}
{u'lastRequest': 28, u'lastquality': 4, u'deviceTime': 1557662048173, u'lastChunkStartTime': 1557662044055, u'buffer': 59.482684, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 18066.296331412454, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1690, u'corruptedFrames': 0, u'time': 72417}, u'lastChunkFinishTime': 1557662045052, u'videoPlayed': 56.679746, u'Type': u'BB', u'lastChunkSize': 2147811}
{u'lastRequest': 29, u'lastquality': 4, u'deviceTime': 1557662051880, u'lastChunkStartTime': 1557662048323, u'buffer': 59.840755, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 17635.139424110577, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 1799, u'corruptedFrames': 0, u'time': 76059}, u'lastChunkFinishTime': 1557662049255, u'videoPlayed': 60.361865, u'Type': u'BB', u'lastChunkSize': 2054114}
