{u'lastRequest': 16, u'lastquality': 4, u'deviceTime': 1557682408993, u'lastChunkStartTime': 1557682408493, u'buffer': 52.7, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 27091.79605973141, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 230, u'totalFrames': 454, u'corruptedFrames': 0, u'time': 31957}, u'lastChunkFinishTime': 1557682408919, u'videoPlayed': 15.3, u'Type': u'BB', u'lastChunkSize': 1918208}
{u'lastRequest': 17, u'lastquality': 4, u'deviceTime': 1557682409580, u'lastChunkStartTime': 1557682409110, u'buffer': 55.9, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 30891.62225892217, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 254, u'totalFrames': 478, u'corruptedFrames': 0, u'time': 32569}, u'lastChunkFinishTime': 1557682409491, u'videoPlayed': 16.166666, u'Type': u'BB', u'lastChunkSize': 1965776}
{u'lastRequest': 18, u'lastquality': 4, u'deviceTime': 1557682410280, u'lastChunkStartTime': 1557682409686, u'buffer': 59, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 34709.674485915726, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 286, u'totalFrames': 510, u'corruptedFrames': 0, u'time': 33422}, u'lastChunkFinishTime': 1557682410131, u'videoPlayed': 17, u'Type': u'BB', u'lastChunkSize': 2416380}
{u'lastRequest': 19, u'lastquality': 4, u'deviceTime': 1557682413360, u'lastChunkStartTime': 1557682410402, u'buffer': 59.814013, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 38151.443867838956, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 376, u'totalFrames': 606, u'corruptedFrames': 0, u'time': 36248}, u'lastChunkFinishTime': 1557682410775, u'videoPlayed': 20.464048, u'Type': u'BB', u'lastChunkSize': 2109234}
{u'lastRequest': 20, u'lastquality': 4, u'deviceTime': 1557682417064, u'lastChunkStartTime': 1557682413472, u'buffer': 59.944523000000004, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 30066.30161435084, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 378, u'totalFrames': 721, u'corruptedFrames': 0, u'time': 40134}, u'lastChunkFinishTime': 1557682414390, u'videoPlayed': 24.130062, u'Type': u'BB', u'lastChunkSize': 2339121}
{u'lastRequest': 21, u'lastquality': 4, u'deviceTime': 1557682421397, u'lastChunkStartTime': 1557682417326, u'buffer': 59.659678, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 25216.705151125607, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 378, u'totalFrames': 847, u'corruptedFrames': 0, u'time': 44370}, u'lastChunkFinishTime': 1557682418239, u'videoPlayed': 28.503678, u'Type': u'BB', u'lastChunkSize': 2198018}
{u'lastRequest': 22, u'lastquality': 4, u'deviceTime': 1557682425188, u'lastChunkStartTime': 1557682421648, u'buffer': 59.708017, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 21894.3018990484, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 379, u'totalFrames': 965, u'corruptedFrames': 0, u'time': 48321}, u'lastChunkFinishTime': 1557682422531, u'videoPlayed': 32.291983, u'Type': u'BB', u'lastChunkSize': 1934037}
{u'lastRequest': 23, u'lastquality': 4, u'deviceTime': 1557682429504, u'lastChunkStartTime': 1557682425443, u'buffer': 59.519571, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 20720.150905324277, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 379, u'totalFrames': 1092, u'corruptedFrames': 0, u'time': 52543}, u'lastChunkFinishTime': 1557682426298, u'videoPlayed': 36.598421, u'Type': u'BB', u'lastChunkSize': 2332684}
{u'lastRequest': 24, u'lastquality': 4, u'deviceTime': 1557682433152, u'lastChunkStartTime': 1557682429718, u'buffer': 59.904624, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 19346.33865209217, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 391, u'totalFrames': 1200, u'corruptedFrames': 0, u'time': 56158}, u'lastChunkFinishTime': 1557682430364, u'videoPlayed': 40.2, u'Type': u'BB', u'lastChunkSize': 1454414}
{u'lastRequest': 25, u'lastquality': 4, u'deviceTime': 1557682437416, u'lastChunkStartTime': 1557682433440, u'buffer': 59.475124, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 18868.255331108914, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 393, u'totalFrames': 1331, u'corruptedFrames': 0, u'time': 60554}, u'lastChunkFinishTime': 1557682434744, u'videoPlayed': 44.524876, u'Type': u'BB', u'lastChunkSize': 2993173}
{u'lastRequest': 26, u'lastquality': 4, u'deviceTime': 1557682441217, u'lastChunkStartTime': 1557682437628, u'buffer': 59.879678999999996, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 18615.849271708645, u'RebufferTime': 1552, u'droppedFrames': {u'droppedFrames': 394, u'totalFrames': 1440, u'corruptedFrames': 0, u'time': 64216}, u'lastChunkFinishTime': 1557682438488, u'videoPlayed': 48.310739, u'Type': u'BB', u'lastChunkSize': 1931522}
