name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
aboveTheFoldLoadedToVisible,ms,,0,-Infinity,Infinity,,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,4Chan,0,2019-05-13 18:51:56,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-51-56_21245.html
timeToFirstContentfulPaint:blocked_on_network,ms,57.057,1,57.057,57.057,0,57.057,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Trello,0,2019-05-13 18:49:43,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-49-43_76682.html
timeToFirstContentfulPaint:net,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Trello,0,2019-05-13 18:49:43,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-49-43_76682.html
timeToFirstContentfulPaint,ms,6992.514,1,6992.514,6992.514,0,6992.514,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Live,1,2019-05-13 18:55:55,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-55-55_98256.html
timeToFirstContentfulPaint:raster,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,4Chan,1,2019-05-13 18:55:14,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-55-14_99365.html
loadingMetric_duration,ms,77,1,77,77,0,77,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Live,1,2019-05-13 18:55:55,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-55-55_98256.html
timeToFirstContentfulPaint:startup,ms,8.604,1,8.604,8.604,0,8.604,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Trello,1,2019-05-13 18:53:15,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-53-15_14729.html
timeToFirstPaint,ms,7169.574,1,7169.574,7169.574,0,7169.574,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Live,0,2019-05-13 18:52:35,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-52-35_66936.html
timeToFirstContentfulPaint:other,ms,1005.904,1,1005.904,1005.904,0,1005.904,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,4Chan,0,2019-05-13 18:51:56,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-51-56_21245.html
timeToFirstCpuIdle,ms,,0,-Infinity,Infinity,,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Trello,0,2019-05-13 18:49:43,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-49-43_76682.html
