name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
timeToFirstContentfulPaint:imageDecode,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,Trello,0,2019-05-13 18:31:58,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-31-58_73395.html
timeToFirstContentfulPaint:composite,ms,0.73,1,0.73,0.73,0,0.73,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,Paypal,0,2019-05-13 18:34:02,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_23-34-02_20144.html
timeToFirstContentfulPaint:raster,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,Trello,0,2019-05-13 18:31:58,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-31-58_73395.html
timeToFirstContentfulPaint:style,ms,653.911,1,653.911,653.911,0,653.911,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,4Chan,0,2019-05-13 18:35:40,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-35-40_16442.html
timeToOnload,ms,41100.8,1,41100.8,41100.8,0,41100.8,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,Trello,0,2019-05-13 18:31:58,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-31-58_73395.html
trace_import_duration,ms,7288.86,1,7288.86,7288.86,0,7288.86,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,Trello,0,2019-05-13 18:31:58,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-31-58_73395.html
timeToFirstContentfulPaint:renderer_misc,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,4Chan,1,2019-05-13 18:41:37,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-41-37_15839.html
timeToFirstContentfulPaint:blocked_on_network,ms,6.645,1,6.645,6.645,0,6.645,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,4Chan,0,2019-05-13 18:35:40,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-35-40_16442.html
timeToFirstContentfulPaint:resource_loading,ms,391.438,1,391.438,391.438,0,391.438,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,4Chan,0,2019-05-13 18:35:40,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-35-40_16442.html
timeToFirstPaint,ms,10222.701,1,10222.701,10222.701,0,10222.701,armeabi-v7a,loading.mobile,2019-05-13 18:31:55,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:31:55,,,android,M,,4Chan,1,2019-05-13 18:41:37,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-41-37_15839.html
