,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
4Chan,902.013,11035.228,29.128,0.708,0.0,5214.232,0.0,0.0,0.0,1493.499,0.0,2113.849,0.0,1092.244,0.0,121.173,0.0,410.71,0.0,0.0,49.088,621.084,0.0,-inf,10910.547,10910.515,-inf,7529.275
Live,2199.689,16654.702,360.758,0.826,0.0,5338.468,0.0,0.0,0.0,672.956,0.0,9615.848,0.0,178.577,0.0,44.181,0.0,225.479,0.0,0.0,47.082,185.107,0.0,-inf,16654.71,16654.687,-inf,14497.374
Paypal,1227.026,12448.717,6.049,0.706,0.0,5390.439,0.0,0.0,0.0,759.72,0.0,2486.812,0.0,1407.802,0.0,286.304,0.0,349.881,0.0,0.0,30.945,1616.822,0.0,-inf,12448.733,12366.251,-inf,25788.187
Trello,2185.791,18451.846,27.608,0.547,0.0,6799.623,0.0,0.0,0.0,1506.017,0.0,7487.031,0.0,3816.891,0.0,531.356,0.0,1108.468,0.0,0.0,67.108,1606.159,0.0,33259.841,18451.868,24205.742,-inf,41576.948
