{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557585732355, u'lastChunkStartTime': 1557585731931, u'buffer': 46.417097, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 11716.354206987839, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 23, u'totalFrames': 281, u'corruptedFrames': 0, u'time': 13912.255000000001}, u'lastChunkFinishTime': 1557585732308, u'videoPlayed': 9.582903, u'Type': u'BB', u'lastChunkSize': 593526}
{u'lastRequest': 14, u'lastquality': 4, u'deviceTime': 1557585733109, u'lastChunkStartTime': 1557585732478, u'buffer': 49.8, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 11549.14357035743, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 23, u'totalFrames': 307, u'corruptedFrames': 0, u'time': 14744.595000000001}, u'lastChunkFinishTime': 1557585732899, u'videoPlayed': 10.337204, u'Type': u'BB', u'lastChunkSize': 577179}
{u'lastRequest': 15, u'lastquality': 4, u'deviceTime': 1557585733824, u'lastChunkStartTime': 1557585733263, u'buffer': 53.066666, u'nextChunkSize': [2289689, 1491626, 966699, 617242, 360831, 143509], u'bandwidthEst': 11400.591047329059, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 24, u'totalFrames': 322, u'corruptedFrames': 0, u'time': 15294.76}, u'lastChunkFinishTime': 1557585733719, u'videoPlayed': 11, u'Type': u'BB', u'lastChunkSize': 654090}
{u'lastRequest': 16, u'lastquality': 4, u'deviceTime': 1557585734595, u'lastChunkStartTime': 1557585734032, u'buffer': 56.238235, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 11604.90586497098, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 29, u'totalFrames': 350, u'corruptedFrames': 0, u'time': 16185.34}, u'lastChunkFinishTime': 1557585734367, u'videoPlayed': 11.761765, u'Type': u'BB', u'lastChunkSize': 525699}
{u'lastRequest': 17, u'lastquality': 4, u'deviceTime': 1557585735381, u'lastChunkStartTime': 1557585734868, u'buffer': 59.5, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 11382.502130214443, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 31, u'totalFrames': 377, u'corruptedFrames': 0, u'time': 17095.405}, u'lastChunkFinishTime': 1557585735260, u'videoPlayed': 12.617259, u'Type': u'BB', u'lastChunkSize': 488774}
{u'lastRequest': 18, u'lastquality': 4, u'deviceTime': 1557585739310, u'lastChunkStartTime': 1557585735598, u'buffer': 59.511752, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 11342.545563326636, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 34, u'totalFrames': 494, u'corruptedFrames': 0, u'time': 20992.66}, u'lastChunkFinishTime': 1557585736024, u'videoPlayed': 16.528824, u'Type': u'BB', u'lastChunkSize': 650614}
{u'lastRequest': 19, u'lastquality': 4, u'deviceTime': 1557585743304, u'lastChunkStartTime': 1557585739496, u'buffer': 59.530009, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 10095.472132021374, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 35, u'totalFrames': 614, u'corruptedFrames': 0, u'time': 24974.45}, u'lastChunkFinishTime': 1557585740082, u'videoPlayed': 20.558455, u'Type': u'BB', u'lastChunkSize': 558642}
{u'lastRequest': 20, u'lastquality': 4, u'deviceTime': 1557585746878, u'lastChunkStartTime': 1557585743563, u'buffer': 59.970152999999996, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 9299.044825963018, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 36, u'totalFrames': 718, u'corruptedFrames': 0, u'time': 28534.04}, u'lastChunkFinishTime': 1557585744174, u'videoPlayed': 24.029847, u'Type': u'BB', u'lastChunkSize': 621973}
{u'lastRequest': 21, u'lastquality': 4, u'deviceTime': 1557585750953, u'lastChunkStartTime': 1557585747244, u'buffer': 59.933344, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 8670.725860317922, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 40, u'totalFrames': 843, u'corruptedFrames': 0, u'time': 32637.54}, u'lastChunkFinishTime': 1557585747828, u'videoPlayed': 28.178807, u'Type': u'BB', u'lastChunkSize': 578337}
{u'lastRequest': 22, u'lastquality': 4, u'deviceTime': 1557585755372, u'lastChunkStartTime': 1557585751157, u'buffer': 59.524876, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 8359.690657415453, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 41, u'totalFrames': 975, u'corruptedFrames': 0, u'time': 37013.24}, u'lastChunkFinishTime': 1557585751696, u'videoPlayed': 32.631541, u'Type': u'BB', u'lastChunkSize': 533770}
{u'lastRequest': 23, u'lastquality': 4, u'deviceTime': 1557585759282, u'lastChunkStartTime': 1557585755528, u'buffer': 59.766667, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 7819.068936002247, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 41, u'totalFrames': 1087, u'corruptedFrames': 0, u'time': 40770.875}, u'lastChunkFinishTime': 1557585756190, u'videoPlayed': 36.514119, u'Type': u'BB', u'lastChunkSize': 624204}
{u'lastRequest': 24, u'lastquality': 4, u'deviceTime': 1557585762992, u'lastChunkStartTime': 1557585759552, u'buffer': 59.8, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 7977.165729535893, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 42, u'totalFrames': 1207, u'corruptedFrames': 0, u'time': 44745.805}, u'lastChunkFinishTime': 1557585759941, u'videoPlayed': 40.233333, u'Type': u'BB', u'lastChunkSize': 424264}
{u'lastRequest': 25, u'lastquality': 4, u'deviceTime': 1557585767010, u'lastChunkStartTime': 1557585763194, u'buffer': 59.781047, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 8049.352627049807, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 42, u'totalFrames': 1326, u'corruptedFrames': 0, u'time': 48723.33}, u'lastChunkFinishTime': 1557585763901, u'videoPlayed': 44.264306, u'Type': u'BB', u'lastChunkSize': 745393}
{u'lastRequest': 26, u'lastquality': 4, u'deviceTime': 1557585770824, u'lastChunkStartTime': 1557585767209, u'buffer': 59.986895, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 7959.215406084648, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 44, u'totalFrames': 1439, u'corruptedFrames': 0, u'time': 52518.06}, u'lastChunkFinishTime': 1557585767771, u'videoPlayed': 48.054249, u'Type': u'BB', u'lastChunkSize': 526378}
{u'lastRequest': 27, u'lastquality': 4, u'deviceTime': 1557585775218, u'lastChunkStartTime': 1557585771008, u'buffer': 59.569092, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 7975.321155266689, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 48, u'totalFrames': 1572, u'corruptedFrames': 0, u'time': 56935.945}, u'lastChunkFinishTime': 1557585771622, u'videoPlayed': 52.472644, u'Type': u'BB', u'lastChunkSize': 614290}
{u'lastRequest': 28, u'lastquality': 4, u'deviceTime': 1557585779055, u'lastChunkStartTime': 1557585775367, u'buffer': 59.719389, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 8040.323060678549, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 48, u'totalFrames': 1688, u'corruptedFrames': 0, u'time': 60784.995}, u'lastChunkFinishTime': 1557585775973, u'videoPlayed': 56.280611, u'Type': u'BB', u'lastChunkSize': 589869}
{u'lastRequest': 29, u'lastquality': 4, u'deviceTime': 1557585783340, u'lastChunkStartTime': 1557585779188, u'buffer': 59.615629, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 7891.9211613075795, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 48, u'totalFrames': 1812, u'corruptedFrames': 0, u'time': 64922.020000000004}, u'lastChunkFinishTime': 1557585779758, u'videoPlayed': 60.566666, u'Type': u'BB', u'lastChunkSize': 546976}
