{u'decodedSeries': 30, u'videoSeries': 0.821965, u'presentedSeries': 28, u'presentedTime': 1557585723679, u'decodedTime': 1557585723679, u'fpsSeries': 18, u'fpsTime': 1557585723679}
{u'decodedSeries': 58, u'videoSeries': 1.919279, u'presentedSeries': 57, u'presentedTime': 1557585724680, u'decodedTime': 1557585724680, u'fpsSeries': 44, u'fpsTime': 1557585724680}
{u'decodedSeries': 93, u'videoSeries': 2.933333, u'presentedSeries': 87, u'presentedTime': 1557585725739, u'decodedTime': 1557585725739, u'fpsSeries': 70, u'fpsTime': 1557585725739}
{u'decodedSeries': 124, u'videoSeries': 3.979036, u'presentedSeries': 112, u'presentedTime': 1557585726785, u'decodedTime': 1557585726785, u'fpsSeries': 86, u'fpsTime': 1557585726785}
{u'decodedSeries': 161, u'videoSeries': 5.042323, u'presentedSeries': 138, u'presentedTime': 1557585727985, u'decodedTime': 1557585727985, u'fpsSeries': 111, u'fpsTime': 1557585727985}
{u'decodedSeries': 190, u'videoSeries': 6.221837, u'presentedSeries': 168, u'presentedTime': 1557585728988, u'decodedTime': 1557585728988, u'fpsSeries': 139, u'fpsTime': 1557585728988}
{u'decodedSeries': 220, u'videoSeries': 7.2, u'presentedSeries': 196, u'presentedTime': 1557585729990, u'decodedTime': 1557585729990, u'fpsSeries': 165, u'fpsTime': 1557585729990}
{u'decodedSeries': 249, u'videoSeries': 8.20927, u'presentedSeries': 226, u'presentedTime': 1557585730989, u'decodedTime': 1557585730989, u'fpsSeries': 189, u'fpsTime': 1557585730989}
{u'decodedSeries': 281, u'videoSeries': 9.251076, u'presentedSeries': 256, u'presentedTime': 1557585732052, u'decodedTime': 1557585732052, u'fpsSeries': 211, u'fpsTime': 1557585732052}
{u'decodedSeries': 312, u'videoSeries': 10.2, u'presentedSeries': 287, u'presentedTime': 1557585733079, u'decodedTime': 1557585733079, u'fpsSeries': 235, u'fpsTime': 1557585733079}
{u'decodedSeries': 343, u'videoSeries': 11.313261, u'presentedSeries': 311, u'presentedTime': 1557585734082, u'decodedTime': 1557585734082, u'fpsSeries': 254, u'fpsTime': 1557585734082}
{u'decodedSeries': 374, u'videoSeries': 12.345371, u'presentedSeries': 339, u'presentedTime': 1557585735108, u'decodedTime': 1557585735108, u'fpsSeries': 277, u'fpsTime': 1557585735108}
{u'decodedSeries': 403, u'videoSeries': 13.333333, u'presentedSeries': 368, u'presentedTime': 1557585736116, u'decodedTime': 1557585736116, u'fpsSeries': 303, u'fpsTime': 1557585736116}
{u'decodedSeries': 435, u'videoSeries': 14.379301, u'presentedSeries': 398, u'presentedTime': 1557585737117, u'decodedTime': 1557585737117, u'fpsSeries': 333, u'fpsTime': 1557585737117}
{u'decodedSeries': 467, u'videoSeries': 15.373009, u'presentedSeries': 430, u'presentedTime': 1557585738200, u'decodedTime': 1557585738200, u'fpsSeries': 364, u'fpsTime': 1557585738200}
{u'decodedSeries': 497, u'videoSeries': 16.447982, u'presentedSeries': 459, u'presentedTime': 1557585739200, u'decodedTime': 1557585739200, u'fpsSeries': 391, u'fpsTime': 1557585739200}
{u'decodedSeries': 527, u'videoSeries': 17.453667, u'presentedSeries': 490, u'presentedTime': 1557585740200, u'decodedTime': 1557585740200, u'fpsSeries': 419, u'fpsTime': 1557585740200}
{u'decodedSeries': 556, u'videoSeries': 18.431238, u'presentedSeries': 520, u'presentedTime': 1557585741213, u'decodedTime': 1557585741213, u'fpsSeries': 447, u'fpsTime': 1557585741213}
{u'decodedSeries': 588, u'videoSeries': 19.47247, u'presentedSeries': 549, u'presentedTime': 1557585742213, u'decodedTime': 1557585742213, u'fpsSeries': 476, u'fpsTime': 1557585742213}
{u'decodedSeries': 618, u'videoSeries': 20.469991, u'presentedSeries': 579, u'presentedTime': 1557585743214, u'decodedTime': 1557585743214, u'fpsSeries': 505, u'fpsTime': 1557585743214}
{u'decodedSeries': 647, u'videoSeries': 21.462886, u'presentedSeries': 608, u'presentedTime': 1557585744223, u'decodedTime': 1557585744223, u'fpsSeries': 531, u'fpsTime': 1557585744223}
{u'decodedSeries': 676, u'videoSeries': 22.481646, u'presentedSeries': 638, u'presentedTime': 1557585745223, u'decodedTime': 1557585745223, u'fpsSeries': 557, u'fpsTime': 1557585745223}
{u'decodedSeries': 705, u'videoSeries': 23.472521, u'presentedSeries': 668, u'presentedTime': 1557585746225, u'decodedTime': 1557585746225, u'fpsSeries': 587, u'fpsTime': 1557585746225}
{u'decodedSeries': 740, u'videoSeries': 24.448628, u'presentedSeries': 699, u'presentedTime': 1557585747301, u'decodedTime': 1557585747301, u'fpsSeries': 614, u'fpsTime': 1557585747301}
{u'decodedSeries': 771, u'videoSeries': 25.527295, u'presentedSeries': 729, u'presentedTime': 1557585748301, u'decodedTime': 1557585748301, u'fpsSeries': 639, u'fpsTime': 1557585748301}
{u'decodedSeries': 798, u'videoSeries': 26.559079, u'presentedSeries': 759, u'presentedTime': 1557585749301, u'decodedTime': 1557585749301, u'fpsSeries': 665, u'fpsTime': 1557585749301}
{u'decodedSeries': 829, u'videoSeries': 27.530451, u'presentedSeries': 789, u'presentedTime': 1557585750302, u'decodedTime': 1557585750302, u'fpsSeries': 692, u'fpsTime': 1557585750302}
{u'decodedSeries': 859, u'videoSeries': 28.566076, u'presentedSeries': 816, u'presentedTime': 1557585751305, u'decodedTime': 1557585751304, u'fpsSeries': 718, u'fpsTime': 1557585751305}
{u'decodedSeries': 890, u'videoSeries': 29.55199, u'presentedSeries': 846, u'presentedTime': 1557585752309, u'decodedTime': 1557585752309, u'fpsSeries': 745, u'fpsTime': 1557585752309}
{u'decodedSeries': 921, u'videoSeries': 30.562227, u'presentedSeries': 876, u'presentedTime': 1557585753310, u'decodedTime': 1557585753310, u'fpsSeries': 774, u'fpsTime': 1557585753310}
{u'decodedSeries': 950, u'videoSeries': 31.562739, u'presentedSeries': 905, u'presentedTime': 1557585754313, u'decodedTime': 1557585754313, u'fpsSeries': 803, u'fpsTime': 1557585754313}
{u'decodedSeries': 981, u'videoSeries': 32.549637, u'presentedSeries': 936, u'presentedTime': 1557585755313, u'decodedTime': 1557585755313, u'fpsSeries': 832, u'fpsTime': 1557585755313}
{u'decodedSeries': 1011, u'videoSeries': 33.566666, u'presentedSeries': 966, u'presentedTime': 1557585756314, u'decodedTime': 1557585756314, u'fpsSeries': 858, u'fpsTime': 1557585756314}
{u'decodedSeries': 1041, u'videoSeries': 34.57377, u'presentedSeries': 996, u'presentedTime': 1557585757315, u'decodedTime': 1557585757315, u'fpsSeries': 887, u'fpsTime': 1557585757315}
{u'decodedSeries': 1071, u'videoSeries': 35.548719, u'presentedSeries': 1026, u'presentedTime': 1557585758315, u'decodedTime': 1557585758315, u'fpsSeries': 917, u'fpsTime': 1557585758315}
{u'decodedSeries': 1102, u'videoSeries': 36.55424, u'presentedSeries': 1058, u'presentedTime': 1557585759377, u'decodedTime': 1557585759377, u'fpsSeries': 945, u'fpsTime': 1557585759377}
{u'decodedSeries': 1133, u'videoSeries': 37.608171, u'presentedSeries': 1088, u'presentedTime': 1557585760378, u'decodedTime': 1557585760378, u'fpsSeries': 970, u'fpsTime': 1557585760378}
{u'decodedSeries': 1162, u'videoSeries': 38.627102, u'presentedSeries': 1117, u'presentedTime': 1557585761388, u'decodedTime': 1557585761388, u'fpsSeries': 998, u'fpsTime': 1557585761388}
{u'decodedSeries': 1193, u'videoSeries': 39.639015, u'presentedSeries': 1147, u'presentedTime': 1557585762389, u'decodedTime': 1557585762389, u'fpsSeries': 1029, u'fpsTime': 1557585762389}
{u'decodedSeries': 1222, u'videoSeries': 40.647937, u'presentedSeries': 1177, u'presentedTime': 1557585763396, u'decodedTime': 1557585763396, u'fpsSeries': 1056, u'fpsTime': 1557585763396}
{u'decodedSeries': 1253, u'videoSeries': 41.654718, u'presentedSeries': 1207, u'presentedTime': 1557585764399, u'decodedTime': 1557585764399, u'fpsSeries': 1086, u'fpsTime': 1557585764399}
{u'decodedSeries': 1283, u'videoSeries': 42.664623, u'presentedSeries': 1237, u'presentedTime': 1557585765398, u'decodedTime': 1557585765398, u'fpsSeries': 1112, u'fpsTime': 1557585765398}
{u'decodedSeries': 1313, u'videoSeries': 43.641476, u'presentedSeries': 1267, u'presentedTime': 1557585766398, u'decodedTime': 1557585766398, u'fpsSeries': 1141, u'fpsTime': 1557585766398}
{u'decodedSeries': 1343, u'videoSeries': 44.657387, u'presentedSeries': 1298, u'presentedTime': 1557585767399, u'decodedTime': 1557585767399, u'fpsSeries': 1169, u'fpsTime': 1557585767399}
