{u'lastRequest': 14, u'lastquality': 4, u'deviceTime': 1557735074640, u'lastChunkStartTime': 1557735070756, u'buffer': 29.482782, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 18370.8038975587, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 912, u'corruptedFrames': 0, u'time': 44364}, u'lastChunkFinishTime': 1557735071562, u'videoPlayed': 30.678644, u'Type': u'BB', u'lastChunkSize': 2189508}
{u'lastRequest': 15, u'lastquality': 4, u'deviceTime': 1557735078265, u'lastChunkStartTime': 1557735074766, u'buffer': 29.817664999999998, u'nextChunkSize': [2289689, 1491626, 966699, 617242, 360831, 143509], u'bandwidthEst': 17999.79579998222, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 4, u'totalFrames': 1023, u'corruptedFrames': 0, u'time': 48062}, u'lastChunkFinishTime': 1557735075622, u'videoPlayed': 34.296246, u'Type': u'BB', u'lastChunkSize': 2368991}
{u'lastRequest': 16, u'lastquality': 4, u'deviceTime': 1557735082371, u'lastChunkStartTime': 1557735078508, u'buffer': 29.838879, u'nextChunkSize': [2059512, 1358801, 885714, 581493, 372963, 150616], u'bandwidthEst': 7690.214860002626, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1141, u'corruptedFrames': 0, u'time': 52008}, u'lastChunkFinishTime': 1557735081770, u'videoPlayed': 38.402954, u'Type': u'BB', u'lastChunkSize': 1918208}
{u'lastRequest': 17, u'lastquality': 4, u'deviceTime': 1557735086281, u'lastChunkStartTime': 1557735082569, u'buffer': 29.910213999999996, u'nextChunkSize': [2220726, 1537156, 987708, 639204, 405596, 165384], u'bandwidthEst': 7172.368802700291, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1260, u'corruptedFrames': 0, u'time': 55963}, u'lastChunkFinishTime': 1557735084712, u'videoPlayed': 42.317434, u'Type': u'BB', u'lastChunkSize': 1965776}
{u'lastRequest': 18, u'lastquality': 4, u'deviceTime': 1557735090156, u'lastChunkStartTime': 1557735086404, u'buffer': 29.803539, u'nextChunkSize': [2156729, 1336050, 923755, 586839, 350713, 140881], u'bandwidthEst': 7074.435744816424, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1377, u'corruptedFrames': 0, u'time': 59883}, u'lastChunkFinishTime': 1557735088585, u'videoPlayed': 46.196461, u'Type': u'BB', u'lastChunkSize': 2416380}
{u'lastRequest': 19, u'lastquality': 4, u'deviceTime': 1557735094597, u'lastChunkStartTime': 1557735090291, u'buffer': 29.47934, u'nextChunkSize': [2039773, 1415116, 891604, 601738, 386472, 157671], u'bandwidthEst': 7025.647877564951, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1511, u'corruptedFrames': 0, u'time': 64400}, u'lastChunkFinishTime': 1557735092026, u'videoPlayed': 50.635099, u'Type': u'BB', u'lastChunkSize': 2109234}
{u'lastRequest': 20, u'lastquality': 4, u'deviceTime': 1557735098317, u'lastChunkStartTime': 1557735094717, u'buffer': 29.805366999999997, u'nextChunkSize': [2176469, 1468126, 955231, 616206, 399894, 157812], u'bandwidthEst': 7069.341115184825, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1621, u'corruptedFrames': 0, u'time': 68074}, u'lastChunkFinishTime': 1557735096245, u'videoPlayed': 54.348988, u'Type': u'BB', u'lastChunkSize': 2339121}
{u'lastRequest': 21, u'lastquality': 4, u'deviceTime': 1557735102449, u'lastChunkStartTime': 1557735098463, u'buffer': 29.533334000000004, u'nextChunkSize': [2221506, 1505760, 968026, 656471, 401853, 163927], u'bandwidthEst': 9423.336665748906, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1748, u'corruptedFrames': 0, u'time': 72313}, u'lastChunkFinishTime': 1557735099881, u'videoPlayed': 58.506927, u'Type': u'BB', u'lastChunkSize': 2198018}
{u'lastRequest': 22, u'lastquality': 4, u'deviceTime': 1557735106176, u'lastChunkStartTime': 1557735102577, u'buffer': 29.847875000000002, u'nextChunkSize': [2044075, 1323990, 874175, 536667, 343800, 137654], u'bandwidthEst': 10782.179809827063, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1859, u'corruptedFrames': 0, u'time': 76000}, u'lastChunkFinishTime': 1557735103602, u'videoPlayed': 62.233333, u'Type': u'BB', u'lastChunkSize': 1934037}
{u'lastRequest': 23, u'lastquality': 4, u'deviceTime': 1557735110133, u'lastChunkStartTime': 1557735106338, u'buffer': 29.918271000000004, u'nextChunkSize': [2186790, 1383735, 897976, 587236, 359903, 146754], u'bandwidthEst': 12283.745789624661, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 1977, u'corruptedFrames': 0, u'time': 79962}, u'lastChunkFinishTime': 1557735107530, u'videoPlayed': 66.196027, u'Type': u'BB', u'lastChunkSize': 2332684}
{u'lastRequest': 24, u'lastquality': 4, u'deviceTime': 1557735114463, u'lastChunkStartTime': 1557735110262, u'buffer': 29.678393999999997, u'nextChunkSize': [2105231, 1480464, 905935, 590335, 379700, 153938], u'bandwidthEst': 13863.108225076649, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 2104, u'corruptedFrames': 0, u'time': 84201}, u'lastChunkFinishTime': 1557735110908, u'videoPlayed': 70.51791, u'Type': u'BB', u'lastChunkSize': 1454414}
{u'lastRequest': 25, u'lastquality': 4, u'deviceTime': 1557735118127, u'lastChunkStartTime': 1557735114613, u'buffer': 29.964236999999997, u'nextChunkSize': [2395588, 1547572, 1076599, 696376, 425781, 181901], u'bandwidthEst': 15116.789242961706, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 2213, u'corruptedFrames': 0, u'time': 87883}, u'lastChunkFinishTime': 1557735116007, u'videoPlayed': 74.15654, u'Type': u'BB', u'lastChunkSize': 2993173}
{u'lastRequest': 26, u'lastquality': 4, u'deviceTime': 1557735122456, u'lastChunkStartTime': 1557735118263, u'buffer': 29.78691599999999, u'nextChunkSize': [1972048, 1141971, 758197, 487160, 277716, 111155], u'bandwidthEst': 17042.87407343955, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 2340, u'corruptedFrames': 0, u'time': 92127}, u'lastChunkFinishTime': 1557735118893, u'videoPlayed': 78.521005, u'Type': u'BB', u'lastChunkSize': 1931522}
{u'lastRequest': 27, u'lastquality': 4, u'deviceTime': 1557735126178, u'lastChunkStartTime': 1557735122568, u'buffer': 29.761756000000005, u'nextChunkSize': [2134614, 1498470, 972798, 622896, 400396, 153605], u'bandwidthEst': 17793.702337022973, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 2458, u'corruptedFrames': 0, u'time': 96085}, u'lastChunkFinishTime': 1557735123594, u'videoPlayed': 82.238244, u'Type': u'BB', u'lastChunkSize': 2355606}
{u'lastRequest': 28, u'lastquality': 4, u'deviceTime': 1557735130185, u'lastChunkStartTime': 1557735126316, u'buffer': 29.798165999999995, u'nextChunkSize': [2164140, 1561263, 975811, 641447, 400508, 149029], u'bandwidthEst': 16789.545395598732, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 2576, u'corruptedFrames': 0, u'time': 100049}, u'lastChunkFinishTime': 1557735127623, u'videoPlayed': 86.242312, u'Type': u'BB', u'lastChunkSize': 2147811}
{u'lastRequest': 29, u'lastquality': 4, u'deviceTime': 1557735134254, u'lastChunkStartTime': 1557735130306, u'buffer': 29.837810000000005, u'nextChunkSize': [2113193, 1341201, 873429, 570392, 358218, 157421], u'bandwidthEst': 17491.291969163416, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 2694, u'corruptedFrames': 0, u'time': 104009}, u'lastChunkFinishTime': 1557735130694, u'videoPlayed': 90.284098, u'Type': u'BB', u'lastChunkSize': 2054114}
